Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"1501 W Ohio St, Indianapolis, Indiana, 46222",PointAddress,Indianapolis,46222,USA,0,-86.188128,39.769643,20090764,2009,765,CMR Construction & Roofing,1501 W. Ohio St.,N/A,Indianapolis,46222,Construction,2002,22756433,95,3.783,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",239,18,97,356400,18097356400,3564,Census Tract 3564,G5020,S,3824636,224926,39.7653157,-86.1846379
USA.PointAddress,M,100,A,"705 E Main St, Westfield, Indiana, 46074",PointAddress,Westfield,46074,USA,0,-86.117891,40.042834,20121871,2012,1871,maxIT Healthcare,705 E. Main Street, ,Westfield,46074,Health,2001,179400000,959,1.472,1,18057,IN,Hamilton County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",254,18,57,110401,18057110401,1104.01,Census Tract 1104.01,G5020,S,26678854,77064,40.0672582,-86.147551
USA.PointAddress,M,100,A,"6501 Julian Ave, Indianapolis, Indiana, 46219",PointAddress,Indianapolis,46219,USA,0,-86.055791,39.769463,20110642,2011,643,Mansfield-King,6501 Julian Avenue, ,Indianapolis,46219,Consumer Products & Services,0,6824254,45,4.991786,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",282,18,97,360700,18097360700,3607,Census Tract 3607,G5020,S,2051481,0,39.775835,-86.0554652
USA.PointAddress,M,100,A,"2002 Wellesley Blvd, Indianapolis, Indiana, 46219",PointAddress,Indianapolis,46219,USA,0,-86.032467,39.79492,20092102,2009,2103,Premiere Credit of North America,2002 Wellesley Blvd.,N/A,Indianapolis,46219,Financial Services,1999,19842628,291,1.51,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",287,18,97,360602,18097360602,3606.02,Census Tract 3606.02,G5020,S,4399246,10732,39.7835678,-86.0365859
USA.PointAddress,M,100,A,"1919 S Girls School Rd, Indianapolis, Indiana, 46241",PointAddress,Indianapolis,46241,USA,0,-86.288767,39.738945,20153635,2015,3635,Aerodyn Engineering,1919 South Girls School Road, ,Indianapolis,46241,Engineering,2002,17430882,84,0.859,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",303,18,97,342101,18097342101,3421.01,Census Tract 3421.01,G5020,S,4873488,8967,39.7475264,-86.2765837
USA.PointAddress,M,100,A,"6555 Guion Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.231555,39.875521,20132054,2013,2056,Floors To Your Home,6555 Guion Road, ,Indianapolis,46268,Consumer Products & Services,2004,8033086,23,1.8171,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",314,18,97,310204,18097310204,3102.04,Census Tract 3102.04,G5020,S,5585718,0,39.8755603,-86.2213039
USA.PointAddress,M,100,A,"2265 Executive Dr, Indianapolis, Indiana, 46241",PointAddress,Indianapolis,46241,USA,0,-86.254958,39.734852,20110957,2011,958,AIT Laboratories,2265 Executive Drive, ,Indianapolis,46241,Health,1990,68239111,477,3.178514,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",369,18,97,342200,18097342200,3422,Census Tract 3422,G5020,S,6482518,7014,39.7421215,-86.257103
USA.PointAddress,M,100,A,"5701 Fortune Cir S, Indianapolis, Indiana, 46241",PointAddress,Indianapolis,46241,USA,0,-86.260441,39.721874,20110091,2011,91,KPaul,5701 Fortune Circle S,Suite K,Indianapolis,46241,Government Services,2004,16240090,105,27.95296,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",369,18,97,342200,18097342200,3422,Census Tract 3422,G5020,S,6482518,7014,39.7421215,-86.257103
USA.PointAddress,M,100,A,"5550 Progress Rd, Indianapolis, Indiana, 46241",PointAddress,Indianapolis,46241,USA,0,-86.255652,39.741228,20083403,2008,3397,Unique Window & Door,5550 Progress Rd., ,Indianapolis,46241,Consumer Products & Services,1983,16082950,115,0.9804,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",369,18,97,342200,18097342200,3422,Census Tract 3422,G5020,S,6482518,7014,39.7421215,-86.257103
USA.PointAddress,M,100,A,"9710 Park Davis Dr, Indianapolis, Indiana, 46235",PointAddress,Indianapolis,46235,USA,0,-85.997405,39.819827,20083692,2008,3687,Trilithic,9710 Park Davis Drive, ,Indianapolis,46235,Telecommunications,1987,39876162,135,0.8526,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",394,18,97,360402,18097360402,3604.02,Census Tract 3604.02,G5020,S,2633185,0,39.8188236,-86.0003997
USA.PointAddress,M,100,A,"3590 N Meridian St, Indianapolis, Indiana, 46208",PointAddress,Indianapolis,46208,USA,0,-86.156867,39.820919,20143267,2014,3267,Willow Marketing Management,3590 North Meridian Street,Suite 200,Indianapolis,46208,Advertising & Marketing,1992,3120865,22,1.052,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",410,18,97,350300,18097350300,3503,Census Tract 3503,G5020,S,677815,0,39.8211605,-86.1592092
USA.PointAddress,M,100,A,"7840 Innovation Blvd, Indianapolis, Indiana, 46278",PointAddress,Indianapolis,46278,USA,0,-86.267267,39.895091,20150179,2015,179,AIT Bioscience,7840 Innovation Boulevard, ,Indianapolis,46278,Health,2009,5910819,43,23.1071,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"4825 W 79th St, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.241481,39.896683,20080640,2008,638,Bone Dry Roofing,4825 W 79th Street, ,Indianapolis,46268,Construction,1987,25067622,110,5.2079,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7820 Innovation Blvd, Indianapolis, Indiana, 46278",PointAddress,Indianapolis,46278,USA,0,-86.267267,39.894911,20101329,2010,1327,DyKnow,7820 Innovation Blvd. Suite 225, ,Indianapolis,46278,Education,2003,2221184,0,2.209,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.StreetName,M,100,A,"W 73rd St, Indianapolis, Indiana, 46278",StreetName,Indianapolis,46278,USA,0,-86.263329,39.884875,20081978,2008,1973,Endangered Species Chocolate,5346 West 73rd Street, ,Indianapolis,46278,Food & Beverage,1993,13227000,52,1.8867,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7820 Innovation Blvd, Indianapolis, Indiana, 46278",PointAddress,Indianapolis,46278,USA,0,-86.267267,39.894911,20153754,2015,3754,Indigo BioAutomation,7820 Innovation Boulevard,Suite 250,Indianapolis,46278,Health,2006,2772000,45,0.8153,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7898 Zionsville Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.259837,39.89558,20133324,2013,3326,POLARIS Laboratories,7898 Zionsville Road, ,Indianapolis,46268,Energy,1999,20851736,220,0.9516,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7260 Georgetown Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.243576,39.885428,20143757,2014,3757,Progressive Design Apparel,7260 Georgetown Road, ,Indianapolis,46268,Consumer Products & Services,1989,3316808,25,0.837,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7736 Zionsville Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.259857,39.893411,20152684,2015,2684,PTS Diagnostics,7736 Zionsville Rd, ,Indianapolis,46268,Health,1992,45732613,177,1.3651,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.StreetAddress,M,100,A,"7835 Woodland Dr, Indianapolis, Indiana, 46278",StreetAddress,Indianapolis,46278,USA,0,-86.265424,39.891211,20092694,2009,2695,T2 Systems,7835 Woodland Dr.,Ste. 250,Indianapolis,46278,Business Products & Services,1994,16119921,111,1.086,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7225 Georgetown Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.243797,39.884133,20080053,2008,53,Trace Communications,7225 Georgetown Rd, ,Indianapolis,46268,Advertising & Marketing,2003,8953130,16,28.9617,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"7225 Georgetown Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.243797,39.884133,20082207,2008,2201,Tri-Auto Enterprises,7225 Georgetown Rd, ,Indianapolis,46268,Advertising & Marketing,2001,26875598,85,1.678,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"5352 W 78th St, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.253463,39.893968,20081381,2008,1377,Venture Logistics,5352 West 78th Street, ,Indianapolis,46268,Logistics & Transportation,2000,83314737,400,2.7573,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.PointAddress,M,100,A,"5751 W 73rd St, Indianapolis, Indiana, 46278",PointAddress,Indianapolis,46278,USA,0,-86.263841,39.884843,20100329,2010,327,Wellfount Pharmacy,5751 W. 73rd Street, ,Indianapolis,46278,Health,2006,8374799,59,9.099,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",537,18,97,310201,18097310201,3102.01,Census Tract 3102.01,G5020,S,8925868,0,39.8896519,-86.2370086
USA.Postal,M,100,A,"46268, Indianapolis, Indiana",Postal,Indianapolis,46268,USA,0,-86.210759,39.906867,20151574,2015,1574,FitzMark,Fitzmark,PO Box 68847,Indianapolis,46268,Logistics & Transportation,2006,62288085,77,2.583,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",551,18,97,310106,18097310106,3101.06,Census Tract 3101.06,G5020,S,2247932,0,39.9050362,-86.211249
USA.PointAddress,M,100,A,"5421 W 84th St, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.25286,39.907163,20140410,2014,410,Construct Solutions,5421 W. 84th Street, ,Indianapolis,46268,Construction,2007,8052266,65,11.5185,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",554,18,97,310105,18097310105,3101.05,Census Tract 3101.05,G5020,S,7035307,0,39.9037291,-86.244477
USA.PointAddress,M,100,A,"8112 Woodland Dr, Indianapolis, Indiana, 46278",PointAddress,Indianapolis,46278,USA,0,-86.266968,39.90061,20143164,2014,3164,Sullivan Commercial Supply,8112 Woodland Dr., ,Indianapolis,46278,Business Products & Services,2008,7782118,15,1.1077,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",554,18,97,310105,18097310105,3101.05,Census Tract 3101.05,G5020,S,7035307,0,39.9037291,-86.244477
USA.PointAddress,M,100,A,"3905 Vincennes Rd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.227362,39.915133,20112035,2011,2035,Adayana,3905 Vincennes Rd.,Suite 402,Indianapolis,46268,Business Products & Services,0,45151000,300,1.248556,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",555,18,97,310104,18097310104,3101.04,Census Tract 3101.04,G5020,S,9114461,70590,39.9182841,-86.2390016
USA.PointAddress,M,100,A,"3500 Depauw Blvd, Indianapolis, Indiana, 46268",PointAddress,Indianapolis,46268,USA,0,-86.223002,39.920358,20151151,2015,1151,Element Three,3500 Depauw Blvd,Suite 3050,Indianapolis,46268,Advertising & Marketing,2006,4198900,40,3.6704,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",555,18,97,310104,18097310104,3101.04,Census Tract 3101.04,G5020,S,9114461,70590,39.9182841,-86.2390016
USA.StreetAddress,M,100,A,"9100 Purdue Rd, Indianapolis, Indiana, 46268",StreetAddress,Indianapolis,46268,USA,0,-86.221736,39.91883,20133653,2013,3654,Fifth Gear,9100 Purdue Road,Suite 400,Indianapolis,46268,Logistics & Transportation,1982,51448525,533,0.8139,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",555,18,97,310104,18097310104,3101.04,Census Tract 3101.04,G5020,S,9114461,70590,39.9182841,-86.2390016
USA.StreetAddress,M,90.92,A,"3905 Vincennes Rd, Indianapolis, Indiana, 46268",StreetAddress,Indianapolis,46268,USA,0,-86.227281,39.915136,20133336,2013,3338,Innovative Integration,3905 Vincennes Circle,Suite 110,Indianapolis,46268,IT Services,2005,7703341,25,0.9457,1,18097,IN,Marion County,18,26900,"Indianapolis-Carmel, IN Metropolitan Statistical Area","Indianapolis-Carmel, IN",555,18,97,310104,18097310104,3101.04,Census Tract 3101.04,G5020,S,9114461,70590,39.9182841,-86.2390016
