Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"720 W Cheyenne Ave, North Las Vegas, Nevada, 89030",PointAddress,North Las Vegas,89030,USA,0,-115.150831,36.217868,20131648,2013,1650,BatteriesInAFlash.com,720 W Cheyenne Ave Ste 170, ,North Las Vegas,89030,Consumer Products & Services,2004,2238173,29,2.3638,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",13,32,3,3642,32003003642,36.42,Census Tract 36.42,G5020,S,2619136,0,36.2250523,-115.1431647
USA.Postal,M,100,A,"89148, Las Vegas, Nevada",Postal,Las Vegas,89148,USA,0,-115.299314,36.085071,20153858,2015,3858,House of Window Coverings,House of Window Coverings,4960 S. Fort Apache Rd. #410,Las Vegas,89148,Consumer Products & Services,2007,3731284,9,0.7831,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",15,32,3,5853,32003005853,58.53,Census Tract 58.53,G5020,S,2037795,0,36.0739747,-115.3022412
USA.PointAddress,M,100,A,"4151 N Pecos Rd, Las Vegas, Nevada, 89115",PointAddress,Las Vegas,89115,USA,0,-115.098754,36.23471,20150945,2015,945,Trend Nation,4151 North Pecos Road,suite 200,Las Vegas,89115,Retail,2008,19712426,59,4.7104,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",30,32,3,4602,32003004602,46.02,Census Tract 46.02,G5020,S,2435827,0,36.2258874,-115.1031586
USA.PointAddress,M,100,A,"2975 W Lake Mead Blvd, North Las Vegas, Nevada, 89032",PointAddress,North Las Vegas,89032,USA,0,-115.17961,36.197423,20092048,2009,2049,Affordable Concepts,2975 W. Lake Mead Blvd., ,North Las Vegas,89032,Construction,1985,59151829,55,1.555,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",51,32,3,3616,32003003616,36.16,Census Tract 36.16,G5020,S,8744658,0,36.2077284,-115.1827474
USA.PointAddress,M,100,A,"3820 S Valley View Blvd, Las Vegas, Nevada, 89103",PointAddress,Las Vegas,89103,USA,0,-115.190107,36.120701,20091702,2009,1703,PDQ Printing of Las Vegas,3820 S. Valley View Blvd.,N/A,Las Vegas,89103,Business Products & Services,1981,9655791,25,1.872,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",52,32,3,2995,32003002995,29.95,Census Tract 29.95,G5020,S,1560214,0,36.1207675,-115.1876162
USA.PointAddress,M,100,A,"101 Convention Center Dr, Las Vegas, Nevada, 89109",PointAddress,Las Vegas,89109,USA,0,-115.161021,36.132304,20120423,2012,423,Deluxe Marketing,101 Convention Center Dr.,#700,Las Vegas,89109,Advertising & Marketing,2003,11931328,9,8.797,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",54,32,3,2302,32003002302,23.02,Census Tract 23.02,G5020,S,3197206,0,36.1317642,-115.1641314
USA.PointAddress,M,100,A,"101 Convention Center Dr, Las Vegas, Nevada, 89109",PointAddress,Las Vegas,89109,USA,0,-115.161021,36.132304,20133496,2013,3497,Nevada Corporate Headquarters,101 Convention Center Drive,Suite 700,Las Vegas,89109,Business Products & Services,1992,13651058,63,0.8761,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",54,32,3,2302,32003002302,23.02,Census Tract 23.02,G5020,S,3197206,0,36.1317642,-115.1641314
USA.PointAddress,M,100,A,"2831 St Rose Pkwy, Henderson, Nevada, 89052",PointAddress,Henderson,89052,USA,0,-115.111693,36.008857,20133768,2013,3769,Panthera Interactive,2831 St. Rose Parkway,Suite 232,Henderson,89052,Advertising & Marketing,2006,8012912,13,0.7687,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",69,32,3,5349,32003005349,53.49,Census Tract 53.49,G5020,S,2609284,0,36.0114185,-115.1013252
USA.PointAddress,M,100,A,"2831 St Rose Pkwy, Henderson, Nevada, 89052",PointAddress,Henderson,89052,USA,0,-115.111693,36.008857,20122304,2012,2304,Realty ONE Group,2831 St. Rose Parkway,100,Henderson,89052,Real Estate,2005,78287851,72,1.09,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",69,32,3,5349,32003005349,53.49,Census Tract 53.49,G5020,S,2609284,0,36.0114185,-115.1013252
USA.StreetAddress,M,100,A,"9360 W Flamingo Rd, Las Vegas, Nevada, 89147",StreetAddress,Las Vegas,89147,USA,0,-115.295744,36.114961,20121819,2012,1819,Colocation America,9360 W. Flamingo Rd.,Suite 110-178,Las Vegas,89147,Telecommunications,2000,5101320,35,1.538,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",81,32,3,5826,32003005826,58.26,Census Tract 58.26,G5020,S,1330855,0,36.1186117,-115.2880347
USA.PointAddress,M,100,A,"8680 Spring Mountain Rd, Las Vegas, Nevada, 89117",PointAddress,Las Vegas,89117,USA,0,-115.28092,36.125939,20092407,2009,2408,Business Credit Services,8680 Spring Mountain Rd,N/A,Las Vegas,89117,Financial Services,2000,4518936,35,1.256,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",82,32,3,5825,32003005825,58.25,Census Tract 58.25,G5020,S,1329340,0,36.1259942,-115.2880327
USA.PointAddress,M,100,A,"4915 Steptoe St, Las Vegas, Nevada, 89122",PointAddress,Las Vegas,89122,USA,0,-115.039014,36.09846,20112708,2011,2707,Sky Zone Indoor Trampoline Park,4915 Steptoe St. Ste. 400, ,Las Vegas,89122,Consumer Products & Services,0,4348950,120,0.831137,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",92,32,3,5016,32003005016,50.16,Census Tract 50.16,G5020,S,7284361,0,36.092346,-115.0184008
USA.PointAddress,M,100,A,"5584 S Fort Apache Rd, Las Vegas, Nevada, 89148",PointAddress,Las Vegas,89148,USA,0,-115.297427,36.08742,20102152,2010,2150,eBizAutos,5584 S Fort Apache Rd, ,Las Vegas,89148,Software,2001,10962075,98,1.208,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",99,32,3,5851,32003005851,58.51,Census Tract 58.51,G5020,S,4060436,0,36.0925869,-115.2928868
