Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"6417 Normandy Ln, Madison, Wisconsin, 53719",PointAddress,Madison,53719,USA,0,-89.49028,43.056322,20153574,2015,3574,Clarity Technology Group,6417 Normandy Lane,Suite 100,Madison,53719,IT Services,1999,2301639,16,0.8858,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",202,55,25,408,55025000408,4.08,Census Tract 4.08,G5020,S,3912109,25103,43.0579172,-89.485478
USA.StreetAddress,M,90.92,A,"740 Regent St, Madison, Wisconsin, 53715",StreetAddress,Madison,53715,USA,0,-89.39793,43.067777,20150631,2015,631,Nordic,740 Regent Stree,Suite 400,Madison,53715,Health,2010,107900000,440,7.2818,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",205,55,25,1606,55025001606,16.06,Census Tract 16.06,G5020,S,421684,0,43.0701393,-89.3956338
USA.PointAddress,M,99.9,A,"609 Burton Blvd, Deforest, Wisconsin, 53532",PointAddress,Deforest,53532,USA,0,-89.335221,43.257552,20091338,2009,1339,Corbi Plastics,609 Burton Blvd,N/A,De Forest,53532,Manufacturing,1999,38080782,85,2.385,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",230,55,25,13301,55025013301,133.01,Census Tract 133.01,G5020,S,16339516,0,43.2450265,-89.3200746
USA.Postal,M,100,A,"53718, Madison, Wisconsin",Postal,Madison,53718,USA,0,-89.274636,43.082436,20153378,2015,3378,bb7,"bb7, LLC",5407 Fen Oak Drive,Madison,53718,Business Products & Services,1992,14057442,94,0.9754,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",234,55,25,11401,55025011401,114.01,Census Tract 114.01,G5020,S,22057414,56815,43.0707915,-89.2634494
USA.StreetAddress,M,100,A,"3225 Deming Way, Middleton, Wisconsin, 53562",StreetAddress,Middleton,53562,USA,0,-89.529193,43.107801,20091504,2009,1505,Extreme Engineering Solutions,"3225 Deming Way, Suite 120",N/A,Middleton,53562,Computer Hardware,2002,19889123,42,2.119,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",427,55,25,10904,55025010904,109.04,Census Tract 109.04,G5020,S,114693328,520506,43.0906473,-89.5717772
USA.PointAddress,M,100,A,"1850 Deming Way, Middleton, Wisconsin, 53562",PointAddress,Middleton,53562,USA,0,-89.524375,43.094395,20153951,2015,3951,WTS Paradigm,1850 Deming Way,Suite 120,Middleton,53562,Software,1999,17247000,107,0.7476,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",427,55,25,10904,55025010904,109.04,Census Tract 109.04,G5020,S,114693328,520506,43.0906473,-89.5717772
USA.PointAddress,M,100,A,"2302 International Ln, Madison, Wisconsin, 53704",PointAddress,Madison,53704,USA,0,-89.35137,43.123733,20153917,2015,3917,TASC,2302 International Lane, ,Madison,53704,Human Resources,1975,89214800,900,0.7577,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",628,55,25,2500,55025002500,25,Census Tract 25,G5020,S,11124173,1451,43.1384233,-89.3363074
USA.StreetAddress,M,92.08,A,"3571 Anderson St, Madison, Wisconsin, 53704",StreetAddress,Madison,53704,USA,0,-89.326817,43.120643,20112325,2011,2325,Virent,3571 Anderson Street, ,Madison,53575,Energy,0,7139000,99,1.04088,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",628,55,25,2500,55025002500,25,Census Tract 25,G5020,S,11124173,1451,43.1384233,-89.3363074
USA.StreetAddress,M,100,A,"3248 University Ave, Madison, Wisconsin, 53705",StreetAddress,Madison,53705,USA,0,-89.443259,43.075333,20142639,2014,2639,Vom Fass USA,3248 University Ave, ,Madison,53705,Food & Beverage,2007,3537954,11,1.4255,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",651,55,25,10100,55025010100,101,Census Tract 101,G5020,S,1930651,0,43.0790499,-89.448782
USA.PointAddress,M,99.91,A,"4920 Triangle St, Mc Farland, Wisconsin, 53558",PointAddress,Mc Farland,53558,USA,0,-89.297218,43.026454,20130610,2013,612,Facility Gateway,4920 Triangle St, ,McFarland,53558,Environmental Services,2008,22481840,52,7.4878,1,55025,WI,Dane County,55,31540,"Madison, WI Metropolitan Statistical Area","Madison, WI",670,55,25,10501,55025010501,105.01,Census Tract 105.01,G5020,S,8956480,4688,43.0337437,-89.290544
