Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"3190 Gateway Rd, Brookfield, Wisconsin, 53045",PointAddress,Brookfield,53045,USA,0,-88.180655,43.077142,20151395,2015,1395,Concurrency,3190 Gateway Road,Suite 200,Brookfield,53045,IT Services,1989,14496977,105,2.9835,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",60,55,133,200801,55133200801,2008.01,Census Tract 2008.01,G5020,S,13727249,294858,43.0780268,-88.1822925
USA.Postal,M,100,A,"53122, Elm Grove, Wisconsin",Postal,Elm Grove,53122,USA,0,-88.075289,43.045609,20143418,2014,3418,Krueger Communications,P.O. Box 618,12515 Knoll Road,Elm Grove,53122,Telecommunications,1959,3043737,15,0.9754,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",61,55,133,201000,55133201000,2010,Census Tract 2010,G5020,S,8631348,47574,43.0475203,-88.0870288
USA.PointAddress,M,100,A,"300 N Executive Dr, Brookfield, Wisconsin, 53005",PointAddress,Brookfield,53005,USA,0,-88.114754,43.033379,20143176,2014,3176,Centare,300 N. Executive Drive,Suite 100,Brookfield,53005,Software,1999,15386941,110,1.1013,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",67,55,133,201101,55133201101,2011.01,Census Tract 2011.01,G5020,S,9901247,137706,43.0367954,-88.1132187
USA.PointAddress,M,100,A,"200 S Executive Dr, Brookfield, Wisconsin, 53005",PointAddress,Brookfield,53005,USA,0,-88.114324,43.030839,20140902,2014,902,Cielo,200 South Executive Drive,Suite 400,Brookfield,53005,Business Products & Services,2005,103500000,830,4.9571,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",67,55,133,201101,55133201101,2011.01,Census Tract 2011.01,G5020,S,9901247,137706,43.0367954,-88.1132187
USA.PointAddress,M,100,A,"155 S Executive Dr, Brookfield, Wisconsin, 53005",PointAddress,Brookfield,53005,USA,0,-88.114399,43.030931,20131681,2013,1683,Elite Human Capital Group,155 S. Executive Drive,Suite 200,Brookfield,53005,Human Resources,2003,7801000,28,2.3111,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",67,55,133,201101,55133201101,2011.01,Census Tract 2011.01,G5020,S,9901247,137706,43.0367954,-88.1132187
USA.PointAddress,M,100,A,"455 E Industrial Dr, Hartland, Wisconsin, 53029",PointAddress,Hartland,53029,USA,0,-88.35074,43.098652,20141015,2014,1015,Johnson Creek Enterprises,455 E. Industrial Drive,Suite # 2,Hartland,53029,Consumer Products & Services,2008,8512000,52,4.3873,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",69,55,133,203601,55133203601,2036.01,Census Tract 2036.01,G5020,S,8642608,73402,43.1095059,-88.3501581
USA.PointAddress,M,100,A,"2239 Pewaukee Rd, Waukesha, Wisconsin, 53188",PointAddress,Waukesha,53188,USA,0,-88.225805,43.03226,20132451,2013,2453,Husco International,2239 Pewaukee Rd, ,Waukesha,53188,Manufacturing,1985,300000000,1270,1.4579,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",72,55,133,203000,55133203000,2030,Census Tract 2030,G5020,S,9465606,191689,43.0390815,-88.2340726
USA.StreetAddress,M,100,A,"N56W13365 Silver Spring Rd, Menomonee Falls, Wisconsin, 53051",StreetAddress,Menomonee Falls,53051,USA,0,-88.077325,43.119259,20121131,2012,1131,BizLab,N56W13365 Silver Spring Rd,N/A,Menomonee Falls,53051,Financial Services,2004,21479585,172,2.786,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",78,55,133,200400,55133200400,2004,Census Tract 2004,G5020,S,19178023,203050,43.140117,-88.0983835
USA.PointAddress,M,100,A,"16805 W Cleveland Ave, New Berlin, Wisconsin, 53151",PointAddress,New Berlin,53151,USA,0,-88.123168,42.994952,20153870,2015,3870,HNI,16805 W Cleveland Avenue,PO Box 510187,New Berlin,53151,Insurance,1963,24529725,113,0.7767,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",174,55,133,201404,55133201404,2014.04,Census Tract 2014.04,G5020,S,7495904,48194,42.9925907,-88.1087349
USA.PointAddress,M,100,A,"15700 W Cleveland Ave, New Berlin, Wisconsin, 53151",PointAddress,New Berlin,53151,USA,0,-88.109692,42.995507,20080882,2008,879,"Software ONE, Inc.",15700 W Cleveland Ave,P.O. Box 510944,New Berlin,53151,IT Services,1985,104100000,57,4.1071,1,55133,WI,Waukesha County,55,33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI",174,55,133,201404,55133201404,2014.04,Census Tract 2014.04,G5020,S,7495904,48194,42.9925907,-88.1087349
