Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"7674 Highway 7, Lyles, Tennessee, 37098",PointAddress,Lyles,37098,USA,0,-87.286377,35.925743,20093217,2009,3218,Sole Supports,7674 Highway 7,N/A,Lyles,37098,Health,1992,8009920,95,0.817,1,47081,TN,Hickman County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",94,47,81,950100,47081950100,9501,Census Tract 9501,G5020,S,243813588,60539,35.8444012,-87.2751647
USA.PointAddress,M,100,A,"1517 Hunt Club Blvd, Gallatin, Tennessee, 37066",PointAddress,Gallatin,37066,USA,0,-86.537253,36.337566,20151829,2015,1829,Reliant Realty,1517 Hunt Club Blvd, ,Gallatin,37066,Real Estate,2007,22319111,700,2.1773,1,47165,TN,Sumner County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",139,47,165,21203,47165021203,212.03,Census Tract 212.03,G5020,S,22410280,6546423,36.3215684,-86.5178948
USA.StreetAddress,M,92.08,A,"130 Maple Dr N, Hendersonville, Tennessee, 37075",StreetAddress,Hendersonville,37075,USA,0,-86.597882,36.313841,20133266,2013,3268,SRS,130 Maple Drive N,Hendersonville,Hendersonville,37066,Construction,2001,33792443,38,0.9788,1,47165,TN,Sumner County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",203,47,165,21205,47165021205,212.05,Census Tract 212.05,G5020,S,7057895,454066,36.3072945,-86.5988907
USA.PointAddress,M,100,A,"1600 Westgate Cir, Brentwood, Tennessee, 37027",PointAddress,Brentwood,37027,USA,0,-86.803189,35.967018,20150809,2015,809,EHD Technologies,1600 Westgate Circle,Suite 275,Brentwood,37027,Business Products & Services,2002,28050076,310,5.4661,1,47187,TN,Williamson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",209,47,187,50205,47187050205,502.05,Census Tract 502.05,G5020,S,7902434,0,35.9794541,-86.7900095
USA.PointAddress,M,100,A,"1612 Westgate Cir, Brentwood, Tennessee, 37027",PointAddress,Brentwood,37027,USA,0,-86.803048,35.968666,20092078,2009,2079,The Human Capital Group,1612 Westgate Circle,Suite 112,Brentwood,37027,Human Resources,2000,2302242,18,1.529,1,47187,TN,Williamson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",209,47,187,50205,47187050205,502.05,Census Tract 502.05,G5020,S,7902434,0,35.9794541,-86.7900095
USA.PointAddress,M,100,A,"1901 Church St, Nashville, Tennessee, 37203",PointAddress,Nashville,37203,USA,0,-86.799099,36.154245,20152230,2015,2230,Advance Financial,1901 Church Street, ,Nashville,37203,Financial Services,1996,73961702,635,1.7503,1,47037,TN,Davidson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",230,47,37,19500,47037019500,195,Census Tract 195,G5020,S,4890996,182715,36.1572505,-86.7814615
USA.PointAddress,M,100,A,"201 4th Ave N, Nashville, Tennessee, 37219",PointAddress,Nashville,37219,USA,0,-86.779188,36.163975,20141597,2014,1597,CapStar Bank,201 Fourth Avenue North,Sutie 950,Nashville,37219,Financial Services,2008,36284000,126,2.6639,1,47037,TN,Davidson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",230,47,37,19500,47037019500,195,Census Tract 195,G5020,S,4890996,182715,36.1572505,-86.7814615
USA.PointAddress,M,100,A,"618 Church St, Nashville, Tennessee, 37219",PointAddress,Nashville,37219,USA,0,-86.782373,36.162257,20091150,2009,1151,Choice Food Group,"618 Church St, Su 220",N/A,Nashville,37219,Food & Beverage,2004,101300000,310,2.758,1,47037,TN,Davidson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",230,47,37,19500,47037019500,195,Census Tract 195,G5020,S,4890996,182715,36.1572505,-86.7814615
USA.StreetAddress,M,100,A,"500 Church St, Nashville, Tennessee, 37219",StreetAddress,Nashville,37219,USA,0,-86.780303,36.163132,20153809,2015,3809,DSi,500 Church St.,Suite 300,Nashville,37219,Business Products & Services,1999,15266575,80,0.7955,1,47037,TN,Davidson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",230,47,37,19500,47037019500,195,Census Tract 195,G5020,S,4890996,182715,36.1572505,-86.7814615
USA.PointAddress,M,100,A,"613 Ewing Ave, Nashville, Tennessee, 37203",PointAddress,Nashville,37203,USA,0,-86.775776,36.152709,20151416,2015,1416,Frothy Monkey,613 Ewing Ave., ,Nashville,37203,Food & Beverage,2001,4313961,113,2.9282,1,47037,TN,Davidson County,47,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN",230,47,37,19500,47037019500,195,Census Tract 195,G5020,S,4890996,182715,36.1572505,-86.7814615
