Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.Postal,M,100,A,"32855, Orlando, Florida",Postal,Orlando,32855,USA,0,-81.397244,28.536599,20083695,2008,3690,"Icarus Exhibits, Inc",P.O.Box 555146, ,Orlando,32855,Construction,1987,4076226,0,0.8519,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",453,12,95,18300,12095018300,183,Census Tract 183,G5020,S,5222090,279545,28.545967,-81.4176181
USA.PointAddress,M,100,A,"2211 W Washington St, Orlando, Florida, 32805",PointAddress,Orlando,32805,USA,0,-81.410094,28.544727,20132733,2013,2735,US Aluminum Services,2211 West Washington Street, ,Orlando,32805,Construction,2004,6763000,35,1.2754,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",453,12,95,18300,12095018300,183,Census Tract 183,G5020,S,5222090,279545,28.545967,-81.4176181
USA.StreetAddress,M,100,A,"1226 Winter Garden Vineland Rd, Winter Garden, Florida, 34787",StreetAddress,Winter Garden,34787,USA,0,-81.587713,28.547604,20150126,2015,126,TAG Aero,"1226 winter garden vineland road, suite 108 building 5", ,Winter Garden,34787,Logistics & Transportation,2011,6227932,7,28.7893,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",470,12,95,17300,12095017300,173,Census Tract 173,G5020,S,6984293,1076311,28.5607088,-81.5941711
USA.PointAddress,M,100,A,"100 W Plant St, Winter Garden, Florida, 34787",PointAddress,Winter Garden,34787,USA,0,-81.586858,28.565403,20150163,2015,163,Transitions Commute Solutions,100 West Plant Street,Suite 240,Winter Garden,34787,Logistics & Transportation,2010,2594412,96,24.5537,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",470,12,95,17300,12095017300,173,Census Tract 173,G5020,S,6984293,1076311,28.5607088,-81.5941711
USA.PointAddress,M,98.32,A,"5850 T G Lee Blvd, Orlando, Florida, 32822",PointAddress,Orlando,32822,USA,0,-81.305023,28.459121,20150360,2015,360,Nextelligence,5850 TG Lee Blvd,Suite 300,Orlando,32822,Business Products & Services,1999,2526318,35,13.0806,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",471,12,95,13507,12095013507,135.07,Census Tract 135.07,G5020,S,10058456,1345821,28.462249,-81.2919517
USA.StreetAddress,M,100,A,"5890 S Semoran Blvd, Orlando, Florida, 32822",StreetAddress,Orlando,32822,USA,0,-81.310234,28.477806,20150377,2015,377,Cables and Sensors,5890 S Semoran Blvd,Suite B,Orlando,32822,Health,2011,2493969,15,12.5741,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",478,12,95,13606,12095013606,136.06,Census Tract 136.06,G5020,S,7411882,567987,28.4623795,-81.3274628
USA.PointAddress,M,100,A,"20 N Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.379083,28.542671,20091735,2009,1736,Coleman Technologies,"20 N. Orange Avenue, Suite 300", ,Orlando,32801,IT Services,1995,289000000,400,1.833,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"201 E Pine St, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.374811,28.541388,20112276,2011,2276,CollaborateMD,201 E Pine St Ste 470,Please Choose an Address or Enter a New One Below ...,Orlando,32801,Health,1999,4977899,31,1.073218,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"189 S Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37899,28.54056,20141387,2014,1387,Crunchy Logistics,189 S Orange Ave,Suite 2000,Orlando,32801,IT Services,2007,2516225,15,3.0906,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"37 N Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37902,28.542861,20150073,2015,73,DG3 Media Group,37 N. Orange Ave,Suite 910H,Orlando,32801,Advertising & Marketing,2010,8145300,30,40.6129,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.StreetAddress,M,100,A,"111 N Magnolia Ave, Orlando, Florida, 32801",StreetAddress,Orlando,32801,USA,0,-81.37744,28.54376,20153834,2015,3834,EnableSoft,111 North Magnolia Ave.,Ste. 1050,Orlando,32801,Software,1995,3329755,21,0.7916,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"189 S Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37899,28.54056,20133827,2013,3828,HostDime,189 S. Orange Ave.,Suite 1500S,Orlando,32801,IT Services,2001,13802873,195,0.743,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"189 S Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37899,28.54056,20091110,2009,1111,Hostdime.com,189 South Orange Avenue,Suite 1500S,Orlando,32801,IT Services,2003,6554118,71,2.823,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"100 E Pine St, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.377152,28.541304,20150180,2015,180,ISGF,100 East Pine Street,Suite 605,Orlando,32801,IT Services,1996,5529921,91,23.1016,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"121 S Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37898,28.54111,20152010,2015,2010,Noble,121 South Orange Ave,Suite 1070 North,Orlando,32801,Health,1994,16884537,28,1.9628,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"400 Pittman St, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.383482,28.546603,20151247,2015,1247,Real Thread,"400 Pittman St, Suite B", ,Orlando,32801,Consumer Products & Services,2009,2414569,18,3.361,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"189 S Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37899,28.54056,20151431,2015,1431,Tekk Fusion,189 South Orange Avenue,Suite 1530-A,Orlando,32801,IT Services,2009,3245812,25,2.8916,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.StreetAddress,M,100,A,"1 S Orange Ave, Orlando, Florida, 32801",StreetAddress,Orlando,32801,USA,0,-81.379005,28.542044,20090487,2009,488,The Media Crew,one south orange ave,suite 405,Orlando,32801,Advertising & Marketing,1999,3201872,14,5.367,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"121 S Orange Ave, Orlando, Florida, 32801",PointAddress,Orlando,32801,USA,0,-81.37898,28.54111,20110016,2011,16,Vertiglo,121 South Orange Avenue,North Plaza Tower Suite 1500,Orlando,32801,Software,0,12710550,56,86.4828,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.StreetAddress,M,100,A,"420 S Orange Ave, Orlando, Florida, 32801",StreetAddress,Orlando,32801,USA,0,-81.378765,28.537919,20102464,2010,2462,ZeroChaos,420 SOUTH ORANGE AVENUE, ,ORLANDO,32801,Human Resources,1999,727000000,11856,0.986,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",479,12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246947,158264,28.5489752,-81.3843042
USA.PointAddress,M,100,A,"2269 Lee Rd, Winter Park, Florida, 32789",PointAddress,Winter Park,32789,USA,0,-81.379112,28.605978,20142147,2014,2147,Healthcare Support Staffing,2269 Lee Road, ,Winter Park,32789,Human Resources,2003,48907000,105,1.8526,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",483,12,95,18000,12095018000,180,Census Tract 180,G5020,S,2206508,239359,28.6085665,-81.3793612
USA.PointAddress,M,100,A,"939 Armstrong Blvd, Kissimmee, Florida, 34741",PointAddress,Kissimmee,34741,USA,0,-81.44118,28.301101,20083272,2008,3266,Catalina Furniture,939 Armstrong Blvd., ,Kissimmee,34741,Retail,2003,13417266,38,1.0349,1,12097,FL,Osceola County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",672,12,97,41700,12097041700,417,Census Tract 417,G5020,S,9205317,0,28.2886568,-81.4389958
USA.StreetAddress,M,100,A,"3600 Ecommerce Pl, Orlando, Florida, 32808",StreetAddress,Orlando,32808,USA,0,-81.431272,28.58726,20092136,2009,2137,Connextions,3600 eCommerce Place,N/A,Orlando,32808,Software,1992,100300000,2300,1.484,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1008,12,95,12403,12095012403,124.03,Census Tract 124.03,G5020,S,6836324,156245,28.5853691,-81.4339188
USA.StreetAddress,M,100,A,"7111 Grand National Dr, Orlando, Florida, 32819",StreetAddress,Orlando,32819,USA,0,-81.456191,28.459036,20112095,2011,2095,Scrap Your Trip,7111 Grand National Drive, ,Orlando,32819,Retail,2002,2764650,30,1.200776,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1019,12,95,17001,12095017001,170.01,Census Tract 170.01,G5020,S,27308084,449403,28.4402342,-81.4541071
USA.PointAddress,M,100,A,"8623 Commodity Cir, Orlando, Florida, 32819",PointAddress,Orlando,32819,USA,0,-81.432742,28.445356,20153370,2015,3370,T&G Constructors,8623 Commodity Circle, ,Orlando,32819,Construction,1987,46012019,68,0.982,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1019,12,95,17001,12095017001,170.01,Census Tract 170.01,G5020,S,27308084,449403,28.4402342,-81.4541071
USA.PointAddress,M,100,A,"6900 Kingspointe Pkwy, Orlando, Florida, 32819",PointAddress,Orlando,32819,USA,0,-81.436761,28.460791,20153982,2015,3982,XYMOGEN,6900 Kingspointe Parkway, ,Orlando,32819,Health,2003,68389871,328,0.7373,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1019,12,95,17001,12095017001,170.01,Census Tract 170.01,G5020,S,27308084,449403,28.4402342,-81.4541071
USA.StreetAddress,M,92.43,A,"875 Concourse Pkwy S, Maitland, Florida, 32751",StreetAddress,Maitland,32751,USA,0,-81.376946,28.629921,20081973,2008,1968,Florida Radiology Imaging,875 Concourse Parkway,Suite 150,Maitland,32751,Health,2002,18634872,130,1.891,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1021,12,95,15501,12095015501,155.01,Census Tract 155.01,G5020,S,5048695,1228448,28.6284112,-81.3755958
USA.PointAddress,M,100,A,"7213 Sandscove Ct, Winter Park, Florida, 32792",PointAddress,Winter Park,32792,USA,0,-81.290529,28.605208,20091539,2009,1540,DEI Services,7213 Sandscove Court,Suite One,Winter Park,32792,Government Services,1996,29067000,298,2.075,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1031,12,95,16407,12095016407,164.07,Census Tract 164.07,G5020,S,3677844,30472,28.5896381,-81.2917517
USA.PointAddress,M,100,A,"524 Mid Florida Dr, Orlando, Florida, 32824",PointAddress,Orlando,32824,USA,0,-81.369351,28.415115,20143052,2014,3052,D&D Unlimited,524 Mid Florida Drive,Suite 202,Orlando,32824,Advertising & Marketing,2005,4050402,6,1.1647,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1033,12,95,16804,12095016804,168.04,Census Tract 168.04,G5020,S,16080744,137471,28.4092446,-81.3529456
USA.PointAddress,M,100,A,"1235 Tradeport Dr, Orlando, Florida, 32824",PointAddress,Orlando,32824,USA,0,-81.363569,28.416998,20083691,2008,3686,Strong AudioVisual Inc.,1235 TradePort Dr., ,Orlando,32824,Consumer Products & Services,2003,6751967,0,0.8526,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1033,12,95,16804,12095016804,168.04,Census Tract 168.04,G5020,S,16080744,137471,28.4092446,-81.3529456
USA.PointAddress,M,100,A,"3900 Edgewater Dr, Orlando, Florida, 32804",PointAddress,Orlando,32804,USA,0,-81.393883,28.58816,20101861,2010,1859,A+ Tutor U,3900 Edgewater Drive, ,Orlando,32804,Education,2001,7955147,2426,1.471,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1042,12,95,12500,12095012500,125,Census Tract 125,G5020,S,2046398,1722287,28.5886685,-81.4040423
USA.PointAddress,M,100,A,"1809 E Winter Park Rd, Orlando, Florida, 32803",PointAddress,Orlando,32803,USA,0,-81.34607,28.56841,20120779,2012,779,ProductionHUB,1809 E. Winter Park Road, ,Orlando,32803,Business Products & Services,1998,2337429,10,4.396,1,12095,FL,Orange County,12,36740,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Kissimmee-Sanford, FL",1044,12,95,12800,12095012800,128,Census Tract 128,G5020,S,3263473,1048124,28.5754343,-81.357723
