Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"1345 E Chandler Blvd, Phoenix, Arizona, 85048",PointAddress,Phoenix,85048,USA,0,-112.053189,33.305134,20153166,2015,3166,ClassicCars.com,1345 E. Chandler Blvd.,Suite 101,Phoenix,85048,Advertising & Marketing,2007,2055348,22,1.0787,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",19,4,13,116725,4013116725,1167.25,Census Tract 1167.25,G5020,S,4158254,0,33.297401,-112.0469872
USA.PointAddress,M,100,A,"4530 E Shea Blvd, Phoenix, Arizona, 85028",PointAddress,Phoenix,85028,USA,0,-111.983361,33.582868,20083735,2008,3730,Dolce & Companies Corporation,4530 E Shea Blvd Suite #105, ,Phoenix,85028,Consumer Products & Services,2002,10781885,216,0.8355,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",31,4,13,103208,4013103208,1032.08,Census Tract 1032.08,G5020,S,2777562,0,33.5904316,-111.987092
USA.PointAddress,M,100,A,"11811 N Tatum Blvd, Phoenix, Arizona, 85028",PointAddress,Phoenix,85028,USA,0,-111.980167,33.59424,20131486,2013,1488,Sprouts Farmers Market,11811 N. Tatum Boulevard,Suite 2400,Phoenix,85028,Consumer Products & Services,2002,1795000000,13200,2.6802,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",32,4,13,103209,4013103209,1032.09,Census Tract 1032.09,G5020,S,6469320,120914,33.5849736,-111.9621695
USA.Postal,M,100,A,"85281, Tempe, Arizona",Postal,Tempe,85281,USA,0,-111.918222,33.41671,20081671,2008,1667,NeedThese,PO Box 7400, ,Tempe,85281,Retail,1999,2936892,8,2.2636,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",34,4,13,319101,4013319101,3191.01,Census Tract 3191.01,G5020,S,330646,0,33.4166651,-111.9220738
USA.StreetAddress,M,92.08,A,"1255 W Rio Salado Pkwy, Tempe, Arizona, 85281",StreetAddress,Tempe,85281,USA,0,-111.958154,33.430654,20132187,2013,2189,Meltmedia,1255 W. Rio Salado Pkwy,#209,Tempe,85251,IT Services,2000,7341097,64,1.6862,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",38,4,13,318800,4013318800,3188,Census Tract 3188,G5020,S,2569381,5203,33.4297773,-111.9560473
USA.PointAddress,M,100,A,"920 W 1st St, Tempe, Arizona, 85281",PointAddress,Tempe,85281,USA,0,-111.950841,33.429138,20081257,2008,1253,"Spectra Electrical Services, Inc.",920 W. 1st St., ,Tempe,85281,Construction,2001,15083475,96,3.0235,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",38,4,13,318800,4013318800,3188,Census Tract 3188,G5020,S,2569381,5203,33.4297773,-111.9560473
USA.StreetAddress,M,100,A,"441 S 48th St, Tempe, Arizona, 85281",StreetAddress,Tempe,85281,USA,0,-111.977337,33.425221,20100960,2010,958,CaseTech,441 S 48TH ST STE 106, ,Tempe,85281,Business Products & Services,1986,13152554,5,3.107,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.PointAddress,M,100,A,"2428 W Campus Dr, Tempe, Arizona, 85282",PointAddress,Tempe,85282,USA,0,-111.974661,33.398548,20082057,2008,2051,Code Electric,2428 W. Campus Drive, ,Tempe,85282,Construction,1962,8829533,100,1.8008,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.PointAddress,M,100,A,"1706 W 10th Pl, Tempe, Arizona, 85281",PointAddress,Tempe,85281,USA,0,-111.966872,33.417558,20151734,2015,1734,DMD Systems Recovery,1706 W 10th Pl, ,Tempe,85281,IT Services,1994,2070211,20,2.3188,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.PointAddress,M,100,A,"1809 W 4th St, Tempe, Arizona, 85281",PointAddress,Tempe,85281,USA,0,-111.966881,33.426293,20150816,2015,816,Flexground,1809 W 4th st, ,Tempe,85281,Construction,2010,8135000,26,5.4461,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.PointAddress,M,100,A,"2401 W 1st St, Tempe, Arizona, 85281",PointAddress,Tempe,85281,USA,0,-111.97565,33.428285,20150148,2015,148,LifeTree Manufacturing,2401 W 1st Street, ,Tempe,85281,Food & Beverage,2011,5604765,70,26.4566,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.StreetAddress,M,100,A,"110 S Priest Dr, Tempe, Arizona, 85281",StreetAddress,Tempe,85281,USA,0,-111.961001,33.429073,20150260,2015,260,My Home Group Real Estate,110 S. Priest Drive,#101,Tempe,85281,Real Estate,2005,2754222,389,17.3615,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.StreetAddress,M,100,A,"425 S 48th St, Tempe, Arizona, 85281",StreetAddress,Tempe,85281,USA,0,-111.97734,33.425315,20092474,2009,2475,Net Transcripts,"425 S. 48th St, Ste 103",N/A,Tempe,85281,Business Products & Services,1988,2459147,15,1.217,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.StreetAddress,M,100,A,"455 S 48th St, Tempe, Arizona, 85281",StreetAddress,Tempe,85281,USA,0,-111.977334,33.425139,20082460,2008,2454,Nothing But NET,455 S. 48th Street,Suite 101,Tempe,85281,IT Services,2002,3470000,9,1.4964,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.PointAddress,M,100,A,"2440 W 12th St, Tempe, Arizona, 85281",PointAddress,Tempe,85281,USA,0,-111.976442,33.415908,20152017,2015,2017,ServerHub,2440 W 12th Street,Suite 4,Tempe,85281,IT Services,2004,2372744,12,1.955,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",48,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7808823,44016,33.4141727,-111.970576
USA.StreetAddress,M,90.92,A,"2845 N Omaha, Mesa, Arizona, 85215",StreetAddress,Mesa,85215,USA,0,-111.738658,33.467265,20153928,2015,3928,FlexPrint,2845 N. Omaha Street, ,Mesa,85215,IT Services,2005,43865760,190,0.7549,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",50,4,13,420304,4013420304,4203.04,Census Tract 4203.04,G5020,S,5380011,28875,33.4696054,-111.7447663
USA.PointAddress,M,100,A,"2848 N Omaha, Mesa, Arizona, 85215",PointAddress,Mesa,85215,USA,0,-111.739164,33.467995,20122858,2012,2857,Miner Southwest,2848 N. Omaha, ,Mesa,85215,Construction,1998,9350222,38,0.799,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",50,4,13,420304,4013420304,4203.04,Census Tract 4203.04,G5020,S,5380011,28875,33.4696054,-111.7447663
USA.PointAddress,M,100,A,"4545 E Shea Blvd, Phoenix, Arizona, 85028",PointAddress,Phoenix,85028,USA,0,-111.982651,33.582553,20143190,2014,3190,Vertical Measures,4545 East Shea Blvd,Suite 100,Phoenix,85028,Advertising & Marketing,2006,3664593,38,1.0959,1,4013,AZ,Maricopa County,4,38060,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ",59,4,13,105101,4013105101,1051.01,Census Tract 1051.01,G5020,S,6037669,1791,33.5734281,-111.9970468
