Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"333 Technology Dr, Canonsburg, Pennsylvania, 15317",PointAddress,Canonsburg,15317,USA,0,-80.174866,40.281817,20112635,2011,2635,SingleSource Property Solutions,"333 Technology Drive, Suite 102", ,Canonsburg,15317,Real Estate,2004,35124759,130,0.877273,1,42125,PA,Washington County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",19,42,125,795800,42125795800,7958,Census Tract 7958,G5020,S,18016618,28772,40.2924865,-80.198636
USA.PointAddress,M,100,A,"480 Johnson Rd, Washington, Pennsylvania, 15301",PointAddress,Washington,15301,USA,0,-80.205699,40.220777,20121422,2012,1422,Universal SmartComp,480 Johnson Road, ,Washington,15301,Health,2000,168600000,210,2.12,1,42125,PA,Washington County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",20,42,125,745100,42125745100,7451,Census Tract 7451,G5020,S,16327152,200406,40.2516127,-80.1777062
USA.StreetAddress,M,100,A,"3311 Washington Rd, Mcmurray, Pennsylvania, 15317",StreetAddress,Mcmurray,15317,USA,0,-80.114093,40.288844,20153324,2015,3324,YESsoccer,3311 Washington Road, ,McMurray,15317,Consumer Products & Services,2011,2896518,8,1.001,1,42125,PA,Washington County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",61,42,125,746200,42125746200,7462,Census Tract 7462,G5020,S,9237297,80426,40.2843377,-80.1159859
USA.StreetAddress,M,100,A,"4632 US-40, Claysville, Pennsylvania, 15323",StreetAddress,Claysville,15323,USA,0,-80.40783,40.11873,20143537,2014,3537,Newton Consulting,4632 State Route 40,Suite 200,Claysville,15323,Business Products & Services,2003,22269815,95,0.9259,1,42125,PA,Washington County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",65,42,125,731000,42125731000,7310,Census Tract 7310,G5020,S,191759818,480568,40.1475313,-80.4168315
USA.StreetAddress,M,100,A,"40 Center Ave, Pittsburgh, Pennsylvania, 15229",StreetAddress,Pittsburgh,15229,USA,0,-80.028051,40.510276,20151964,2015,1964,CompuGroup Technologies,40 center avenue, ,Pittsburgh,15229,IT Services,2009,5375500,67,2.0109,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",139,42,3,430100,42003430100,4301,Census Tract 4301,G5020,S,854749,0,40.5145873,-80.0247494
USA.PointAddress,M,100,A,"116 Federal St, Pittsburgh, Pennsylvania, 15212",PointAddress,Pittsburgh,15212,USA,0,-80.004138,40.44803,20152242,2015,2242,Think Through Learning,"116 Federal Street, Floor 2", ,Pittsburgh,15212,Education,2002,14302349,152,1.7407,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",196,42,3,563200,42003563200,5632,Census Tract 5632,G5020,S,925196,138471,40.4528056,-79.9993624
USA.PointAddress,M,100,A,"650 Washington Rd, Pittsburgh, Pennsylvania, 15228",PointAddress,Pittsburgh,15228,USA,0,-80.044386,40.381179,20083173,2008,3167,Symons Capital Management,650 Washington Road,Suite 800,Pittsburgh,15228,Financial Services,1983,2862495,9,1.0933,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",218,42,3,473200,42003473200,4732,Census Tract 4732,G5020,S,729801,0,40.3814704,-80.0483236
USA.PointAddress,M,100,A,"101 Pennsylvania Blvd, Pittsburgh, Pennsylvania, 15228",PointAddress,Pittsburgh,15228,USA,0,-80.041165,40.377385,20133154,2013,3156,Absolute Capital Management,101 Pennsylvania Blvd,Pittsburgh,Pittsburgh,15228,Financial Services,2002,3742720,13,1.0389,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",231,42,3,473401,42003473401,4734.01,Census Tract 4734.01,G5020,S,1527654,0,40.3718229,-80.0426207
USA.PointAddress,M,100,A,"620 Island Ave, McKees Rocks, Pennsylvania, 15136",PointAddress,McKees Rocks,15136,USA,0,-80.061594,40.472308,20150980,2015,980,5 Generation Bakers,620 Island Avenue, ,McKees Rocks,15136,Food & Beverage,2009,2978686,39,4.49,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",280,42,3,464400,42003464400,4644,Census Tract 4644,G5020,S,1727535,163590,40.471413,-80.0588329
USA.Postal,M,100,A,"15236, Pittsburgh, Pennsylvania",Postal,Pittsburgh,15236,USA,0,-79.974714,40.341827,20130128,2013,128,Target Freight Management,TARGET FREIGTH MANAGEMENT,5905 BROWNSVILLE RD.,Pittsburgh,15236,Logistics & Transportation,2008,23949434,24,28.9612,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",375,42,3,480101,42003480101,4801.01,Census Tract 4801.01,G5020,S,2295186,0,40.3411555,-79.9835041
USA.PointAddress,M,100,A,"1735 5th Ave, McKeesport, Pennsylvania, 15132",PointAddress,McKeesport,15132,USA,0,-79.84442,40.353306,20133574,2013,3575,AEC Group,1735 5th Ave, ,McKeesport,15132,IT Services,1992,41701000,126,0.8486,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",411,42,3,551900,42003551900,5519,Census Tract 5519,G5020,S,1810501,400290,40.3551633,-79.8493157
USA.PointAddress,M,100,A,"2313 E Carson St, Pittsburgh, Pennsylvania, 15203",PointAddress,Pittsburgh,15203,USA,0,-79.972361,40.428318,20140627,2014,627,Branding Brand,2313 E. Carson St,2313 E. Carson St.,Pittsburgh,15203,Software,2008,12130721,175,7.4437,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",416,42,3,160900,42003160900,1609,Census Tract 1609,G5020,S,1244897,443598,40.4250308,-79.9643905
USA.StreetAddress,M,100,A,"2730 Sidney St, Pittsburgh, Pennsylvania, 15203",StreetAddress,Pittsburgh,15203,USA,0,-79.965785,40.427669,20152176,2015,2176,Gatesman+Dave,2730 Sidney Street,"Building 2, Suite 300",Pittsburgh,15203,Advertising & Marketing,2006,55936070,72,1.7988,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",416,42,3,160900,42003160900,1609,Census Tract 1609,G5020,S,1244897,443598,40.4250308,-79.9643905
USA.PointAddress,M,100,A,"2516 Jane St, Pittsburgh, Pennsylvania, 15203",PointAddress,Pittsburgh,15203,USA,0,-79.969809,40.425893,20120964,2012,964,Precision Therapeutics,2516 Jane Street, ,Pittsburgh,15203,Health,1995,38177000,282,3.338,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",416,42,3,160900,42003160900,1609,Census Tract 1609,G5020,S,1244897,443598,40.4250308,-79.9643905
USA.PointAddress,M,100,A,"6587 Hamilton Ave, Pittsburgh, Pennsylvania, 15206",PointAddress,Pittsburgh,15206,USA,0,-79.911452,40.458208,20151797,2015,1797,AE Works,6587 Hamilton Avenue, ,Pittsburgh,15206,Engineering,2007,5213962,33,2.219,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",423,42,3,120800,42003120800,1208,Census Tract 1208,G5020,S,715702,0,40.4603743,-79.9131344
USA.StreetAddress,M,100,A,"2400 Oxford Dr, Bethel Park, Pennsylvania, 15102",StreetAddress,Bethel Park,15102,USA,0,-80.050785,40.344092,20150546,2015,546,"IT Partners (Bethel Park, PA)",2400 Oxford Drive #430, ,Bethel Park,15102,IT Services,1994,3440313,11,8.4948,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",427,42,3,475101,42003475101,4751.01,Census Tract 4751.01,G5020,S,3134652,0,40.3469695,-80.0404601
USA.PointAddress,M,100,A,"1725 Washington Rd, Pittsburgh, Pennsylvania, 15241",PointAddress,Pittsburgh,15241,USA,0,-80.05376,40.347565,20143534,2014,3534,SteelBridge Ventures Consulting,1725 Washington Road,Suite 305,Pittsburgh,15241,Financial Services,2008,2918023,12,0.9276,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",427,42,3,475101,42003475101,4751.01,Census Tract 4751.01,G5020,S,3134652,0,40.3469695,-80.0404601
USA.PointAddress,M,100,A,"1132 4th Ave, Coraopolis, Pennsylvania, 15108",PointAddress,Coraopolis,15108,USA,0,-80.160872,40.517304,20111162,2011,1162,Aero Tech Designs Cyclewear,1132 4th Ave., ,Coraopolis,15108,Retail,0,2204915.3,23,2.54904,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",646,42,3,450800,42003450800,4508,Census Tract 4508,G5020,S,1364588,299718,40.5191654,-80.1672689
USA.StreetAddress,M,100,A,"2121 Noblestown Rd, Pittsburgh, Pennsylvania, 15205",StreetAddress,Pittsburgh,15205,USA,0,-80.053402,40.431034,20081855,2008,1850,Datavibes.,2121 Noblestown Road,Ste. 106,Pittsburgh,15205,Business Products & Services,2003,4819295,167,2.0343,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",652,42,3,563100,42003563100,5631,Census Tract 5631,G5020,S,2715483,0,40.4309293,-80.0437179
USA.StreetName,M,100,A,"Napor Blvd, Pittsburgh, Pennsylvania, 15205",StreetName,Pittsburgh,15205,USA,0,-80.085049,40.442428,20143620,2014,3620,HDS,633 Napor Boulevard, ,Pittsburgh,15205,Advertising & Marketing,1992,13944315,28,0.8915,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",657,42,3,563000,42003563000,5630,Census Tract 5630,G5020,S,3942599,0,40.4528777,-80.0809222
USA.PointAddress,M,100,A,"100 Emerson Ln, Bridgeville, Pennsylvania, 15017",PointAddress,Bridgeville,15017,USA,0,-80.121264,40.349693,20112463,2011,2463,ColdCypress,100 Emerson Lane,Suite 1515,Bridgeville,15017,IT Services,2004,7107173,38,0.956463,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",689,42,3,456003,42003456003,4560.03,Census Tract 4560.03,G5020,S,31731954,0,40.3550876,-80.1743843
USA.PointAddress,M,100,A,"100 Emerson Ln, Bridgeville, Pennsylvania, 15017",PointAddress,Bridgeville,15017,USA,0,-80.121264,40.349693,20152915,2015,2915,Knowledge Center,100 Emerson Lane,Suite 1513,Bridgeville,15017,Software,2004,3381103,13,1.2121,1,42003,PA,Allegheny County,42,38300,"Pittsburgh, PA Metropolitan Statistical Area","Pittsburgh, PA",689,42,3,456003,42003456003,4560.03,Census Tract 4560.03,G5020,S,31731954,0,40.3550876,-80.1743843
