Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"11201 NE 9th St, Vancouver, Washington, 98684",PointAddress,Vancouver,98684,USA,0,-122.55678,45.628242,20144013,2014,4013,Audigy Group,11201 NE 9th Street,11201 NE 9th Street,Vancouver,98684,Health,2004,29717530,174,0.7435,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",186,53,11,41317,53011041317,413.17,Census Tract 413.17,G5020,S,2940664,0,45.6322123,-122.5524592
USA.StreetAddress,M,92.08,A,"501 SE Columbia Shores Blvd, Vancouver, Washington, 98661",StreetAddress,Vancouver,98661,USA,0,-122.651504,45.617197,20111587,2011,1587,ClearAccess,501 SE Columbia Shores BLVD Ste 500,501 SE Columbia Shores BLVD Ste 500,Vancouver,98685,Telecommunications,2005,7230000,43,1.727273,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",193,53,11,42600,53011042600,426,Census Tract 426,G5020,S,7399106,1831954,45.6215353,-122.6508691
USA.PointAddress,M,100,A,"5721 SE Columbia Way, Vancouver, Washington, 98661",PointAddress,Vancouver,98661,USA,0,-122.61078,45.613563,20090947,2009,948,GBCblue,5721 SE Columbia Way,Suite 190,Vancouver,98661,Consumer Products & Services,2003,5020559,18,3.208,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",193,53,11,42600,53011042600,426,Census Tract 426,G5020,S,7399106,1831954,45.6215353,-122.6508691
USA.PointAddress,M,100,A,"5721 SE Columbia Way, Vancouver, Washington, 98661",PointAddress,Vancouver,98661,USA,0,-122.61078,45.613563,20102780,2010,2778,Global Business Center,5721 SE Columbia Way, ,Vancouver,98661,Business Products & Services,2003,5392576,0,0.815,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",193,53,11,42600,53011042600,426,Census Tract 426,G5020,S,7399106,1831954,45.6215353,-122.6508691
USA.PointAddress,M,100,A,"4510 NE 68th Dr, Vancouver, Washington, 98661",PointAddress,Vancouver,98661,USA,0,-122.624267,45.670326,20153472,2015,3472,Dynamic Events,4510 NE 68th Dr Unit 102, ,Vancouver,98661,Business Products & Services,1998,4184861,41,0.9287,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",201,53,11,41105,53011041105,411.05,Census Tract 411.05,G5020,S,4604521,0,45.6705344,-122.6177315
USA.PointAddress,M,100,A,"314 NE Birch St, Camas, Washington, 98607",PointAddress,Camas,98607,USA,0,-122.404459,45.584983,20151258,2015,1258,Fuel Medical Group,314 NE Birch St, ,Camas,98607,Health,2009,7734678,42,3.3347,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",203,53,11,41500,53011041500,415,Census Tract 415,G5020,S,3600213,1196964,45.583427,-122.3896813
USA.PointAddress,M,100,A,"1100 NW Klickitat Ln, Camas, Washington, 98607",PointAddress,Camas,98607,USA,0,-122.445856,45.587553,20120539,2012,539,Virtualosity Solutions,1100 NW Klickitat Ln,Company Address Line 2,Camas,98607,IT Services,2006,4585000,60,6.96,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",389,53,11,40609,53011040609,406.09,Census Tract 406.09,G5020,S,3243650,0,45.5949522,-122.44357
USA.PointAddress,M,100,A,"1400 Washington St, Vancouver, Washington, 98660",PointAddress,Vancouver,98660,USA,0,-122.67269,45.63218,20082412,2008,2406,Bank of Clark County,1400 Washington St.,Suite 200,Vancouver,98660,Financial Services,1999,32772000,102,1.5348,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",958,53,11,42300,53011042300,423,Census Tract 423,G5020,S,1203815,0,45.635726,-122.6790964
USA.StreetAddress,M,90.92,A,"1700 Washington St, Vancouver, Washington, 98660",StreetAddress,Vancouver,98660,USA,0,-122.672654,45.634187,20133612,2013,3613,Pacific Bells,1700 Washington, ,Vancouver,98660,Food & Beverage,1986,199200000,3400,0.8321,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",958,53,11,42300,53011042300,423,Census Tract 423,G5020,S,1203815,0,45.635726,-122.6790964
USA.PointAddress,M,100,A,"415 W 6th St, Vancouver, Washington, 98660",PointAddress,Vancouver,98660,USA,0,-122.675681,45.625682,20122462,2012,2462,AHA!,415 W. 6th ST #605, ,Vancouver,98660,Advertising & Marketing,1994,7429614,61,0.985,1,53011,WA,Clark County,53,38900,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA",968,53,11,42400,53011042400,424,Census Tract 424,G5020,S,1021245,444839,45.6246604,-122.6803105
