Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"400 S 1000 E, Lehi, Utah, 84043",PointAddress,Lehi,84043,USA,0,-111.832457,40.382824,20141873,2014,1873,Blade HQ,400 S. 1000 E.,Ste. E1,Lehi,84043,Retail,2003,17644091,47,2.1892,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",35,49,49,103,49049000103,1.03,Census Tract 1.03,G5020,S,4414527,87779,40.3850275,-111.8458668
USA.PointAddress,M,100,A,"770 E Main St, Lehi, Utah, 84043",PointAddress,Lehi,84043,USA,0,-111.837161,40.388184,20152538,2015,2538,You Need A Budget,770 E Main St. #236, ,Lehi,84043,Financial Services,2004,4506967,24,1.462,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",35,49,49,103,49049000103,1.03,Census Tract 1.03,G5020,S,4414527,87779,40.3850275,-111.8458668
USA.PointAddress,M,100,A,"744 S 400 E, Orem, Utah, 84097",PointAddress,Orem,84097,USA,0,-111.685708,40.2836,20122481,2012,2481,Aribex,744 South 400 East, ,Orem,84097,Manufacturing,2003,10632090,47,0.976,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",45,49,49,1002,49049001002,10.02,Census Tract 10.02,G5020,S,1508099,0,40.2861635,-111.6792437
USA.StreetAddress,M,100,A,"1290 Sandhill Rd, Orem, Utah, 84058",StreetAddress,Orem,84058,USA,0,-111.713013,40.273742,20101546,2010,1544,Pinnacle Security,1290 Sandhill Road, ,Orem,84058,Security,2001,138500000,482,1.874,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",46,49,49,1201,49049001201,12.01,Census Tract 12.01,G5020,S,2463958,0,40.2670294,-111.7036321
USA.PointAddress,M,98.78,A,"1460 Moon River Dr, Provo, Utah, 84604",PointAddress,Provo,84604,USA,0,-111.666392,40.254156,20090758,2009,759,Heritage Web Solutions,1460 Moonriver Dr., ,Provo,84604,IT Services,2001,20385009,205,3.804,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",48,49,49,1402,49049001402,14.02,Census Tract 14.02,G5020,S,1689840,0,40.2585215,-111.6700089
USA.PointAddress,M,100,A,"1515 Riverside Ave, Provo, Utah, 84604",PointAddress,Provo,84604,USA,0,-111.668472,40.254832,20153423,2015,3423,RBM Building Services,1515 Riverside Avenue, ,Provo,84604,Business Products & Services,1974,15075435,1050,0.9521,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",48,49,49,1402,49049001402,14.02,Census Tract 14.02,G5020,S,1689840,0,40.2585215,-111.6700089
USA.PointAddress,M,100,A,"1280 S 800 E, Orem, Utah, 84097",PointAddress,Orem,84097,USA,0,-111.676097,40.27346,20153176,2015,3176,NorthStar Alarm Services,1280 S 800 E,Ste 200,Orem,84097,Security,2000,17952952,300,1.0738,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",49,49,49,1300,49049001300,13,Census Tract 13,G5020,S,2645977,0,40.2741985,-111.6770605
USA.Postal,M,100,A,"84097, Orem, Utah",Postal,Orem,84097,USA,0,-111.681688,40.276891,20121493,2012,1493,ServerPlus,P.O. Box 970842, ,Orem,84097,IT Services,2000,5480600,72,1.995,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",49,49,49,1300,49049001300,13,Census Tract 13,G5020,S,2645977,0,40.2741985,-111.6770605
USA.PointAddress,M,100,A,"226 N Orem Blvd, Orem, Utah, 84057",PointAddress,Orem,84057,USA,0,-111.6992,40.301065,20111631,2011,1631,Acumen Learning,226 N. Orem Blvd, ,Orem,84057,Education,0,4017620,18,1.66622,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",52,49,49,802,49049000802,8.02,Census Tract 8.02,G5020,S,2002129,0,40.3007569,-111.711055
USA.StreetAddress,M,90.92,A,"51 W Center St, Orem, Utah, 84057",StreetAddress,Orem,84057,USA,0,-111.696596,40.297133,20080252,2008,252,BuilderFusion,51 West Center,#515,Orem,84057,Software,2001,3183000,37,10.3679,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",52,49,49,802,49049000802,8.02,Census Tract 8.02,G5020,S,2002129,0,40.3007569,-111.711055
USA.Postal,M,100,A,"84059, Orem, Utah",Postal,Orem,84059,USA,0,-111.701352,40.2972,20151483,2015,1483,Edge Homes,PO Box 216, ,Orem,84059,Construction,2011,137700000,55,2.7679,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",52,49,49,802,49049000802,8.02,Census Tract 8.02,G5020,S,2002129,0,40.3007569,-111.711055
USA.StreetName,M,100,A,"W 105 N, Orem, Utah, 84057",StreetName,Orem,84057,USA,0,-111.720814,40.299123,20141103,2014,1103,Vetora,1499 W 105 N, ,Orem,84057,Retail,2005,5621000,28,4.0367,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",52,49,49,802,49049000802,8.02,Census Tract 8.02,G5020,S,2002129,0,40.3007569,-111.711055
USA.PointAddress,M,100,A,"508 W 800 N, Orem, Utah, 84057",PointAddress,Orem,84057,USA,0,-111.708791,40.312148,20131756,2013,1758,Vision Security,508 W 800 N, ,Orem,84057,Security,2006,30982056,250,2.1915,1,49049,UT,Utah County,49,39340,"Provo-Orem, UT Metropolitan Statistical Area","Provo-Orem, UT",53,49,49,706,49049000706,7.06,Census Tract 7.06,G5020,S,2184751,0,40.3177123,-111.7170691
