Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.Postal,M,100,A,"27528, Clayton, North Carolina",Postal,Clayton,27528,USA,0,-78.451757,35.646434,20090261,2009,261,Media Two Interactive,PO Box 1119,N/A,Clayton,27528,Advertising & Marketing,1998,13216819,15,8.657,1,37101,NC,Johnston County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",211,37,101,41001,37101041001,410.01,Census Tract 410.01,G5020,S,28041531,72688,35.6308744,-78.4191816
USA.PointAddress,M,98.96,A,"1330 Saint Marys St, Raleigh, North Carolina, 27605",PointAddress,Raleigh,27605,USA,0,-78.652698,35.797223,20142746,2014,2746,Accuro,1330 St Mary's Street,Suite 150,Raleigh,27605,Human Resources,2003,4394207,75,1.3585,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",468,37,183,51600,37183051600,516,Census Tract 516,G5020,S,3945709,0,35.806939,-78.6593515
USA.PointAddress,M,98.96,A,"1330 Saint Marys St, Raleigh, North Carolina, 27605",PointAddress,Raleigh,27605,USA,0,-78.652698,35.797223,20143999,2014,3999,Jones & Frank,1330 Saint Mary's Street,Suite 210,Raleigh,27605,Energy,1945,199300000,397,0.7486,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",468,37,183,51600,37183051600,516,Census Tract 516,G5020,S,3945709,0,35.806939,-78.6593515
USA.PointAddress,M,100,A,"2603 Glenwood Ave, Raleigh, North Carolina, 27608",PointAddress,Raleigh,27608,USA,0,-78.660631,35.816374,20152545,2015,2545,"Synergy Spa, Aesthetics & Wellness",2603 Glenwood Ave, ,Raleigh,27608,Health,2004,3019618,50,1.453,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",468,37,183,51600,37183051600,516,Census Tract 516,G5020,S,3945709,0,35.806939,-78.6593515
USA.StreetAddress,M,100,A,"314 W Millbrook Rd, Raleigh, North Carolina, 27609",StreetAddress,Raleigh,27609,USA,0,-78.648012,35.856357,20091392,2009,1393,Sitescapes,314 West Millbrook Road,Suite 005,Raleigh,27609,Construction,2003,5207437,37,2.297,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",471,37,183,53716,37183053716,537.16,Census Tract 537.16,G5020,S,3192919,62880,35.8610519,-78.6499927
USA.PointAddress,M,100,A,"4001 Weston Pkwy, Cary, North Carolina, 27513",PointAddress,Cary,27513,USA,0,-78.78158,35.831334,20101594,2010,1592,Bandwidth.com,4001 Weston Parkway, ,Cary,27513,Telecommunications,1999,87354774,153,1.797,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",476,37,183,53512,37183053512,535.12,Census Tract 535.12,G5020,S,9087084,808673,35.8258367,-78.7805364
USA.StreetAddress,M,92.08,A,"1915 Evans Rd, Cary, North Carolina, 27513",StreetAddress,Cary,27513,USA,0,-78.802747,35.818712,20150269,2015,269,Patagonia Health,1915 Evans Road, ,Cary,27519,Health,2009,3194867,21,16.8692,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",476,37,183,53512,37183053512,535.12,Census Tract 535.12,G5020,S,9087084,808673,35.8258367,-78.7805364
USA.PointAddress,M,100,A,"5020 Weston Pkwy, Cary, North Carolina, 27513",PointAddress,Cary,27513,USA,0,-78.782387,35.831457,20153164,2015,3164,Personify,5020 Weston Parkway,Ste 315,Cary,27513,Human Resources,2006,6121326,59,1.0801,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",476,37,183,53512,37183053512,535.12,Census Tract 535.12,G5020,S,9087084,808673,35.8258367,-78.7805364
USA.PointAddress,M,100,A,"6501 Weston Pkwy, Cary, North Carolina, 27513",PointAddress,Cary,27513,USA,0,-78.788261,35.829034,20101952,2010,1950,SciQuest,6501 Weston Parkway, ,Cary,27513,Software,1995,36179000,162,1.383,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",476,37,183,53512,37183053512,535.12,Census Tract 535.12,G5020,S,9087084,808673,35.8258367,-78.7805364
USA.PointAddress,M,100,A,"1135 Kildaire Farm Rd, Cary, North Carolina, 27511",PointAddress,Cary,27511,USA,0,-78.782082,35.768237,20111072,2011,1072,LinkConnector,1135 Kildaire Farm Road, ,Cary,27511,Advertising & Marketing,0,2673050,14,2.814637,1,37183,NC,Wake County,37,39580,"Raleigh-Cary, NC Metropolitan Statistical Area","Raleigh-Cary, NC",480,37,183,53506,37183053506,535.06,Census Tract 535.06,G5020,S,5927551,16817,35.7586522,-78.7717669
