Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"1098 W South Jordan Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.922806,40.561137,20152078,2015,2078,3 Key Elements,1098 W. South Jordan Pkwy,Suite 105,South Jordan,84095,Education,2008,3058600,27,1.8876,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.StreetAddress,M,98.88,A,"10786 S River Front Pkwy, South Jordan, Utah, 84095",StreetAddress,South Jordan,84095,USA,0,-111.913153,40.555128,20111996,2011,1996,AdvancedMD Software,10786 S. Riverfront Parkway,Ste 400,S. Jordan,84095,Health,1999,34801827,206,1.271172,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,100,A,"1099 W South Jordan Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.921867,40.560754,20152275,2015,2275,Candlelight Homes,1099 West South Jordan Parkway, ,South Jordan,84095,Construction,2008,53301455,21,1.7078,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,100,A,"10813 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.913118,40.555069,20120130,2012,130,Central Logic,"10813 S River Front Pkwy, Suite 300", ,South Jordan,84095,Health,2005,6492479,37,24.485,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,98.88,A,"10813 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.913118,40.555069,20151284,2015,1284,Executech,10813 South Riverfront Parkway,Suite 410,South Jordan,84095,IT Services,1999,7822158,57,3.2343,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,100,A,"10876 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.914488,40.554287,20150645,2015,645,HireVue,10876 South River Front Parkway,Suite 600,South Jordan,84095,Human Resources,2004,15537760,204,7.061,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,100,A,"10701 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.911653,40.557024,20150634,2015,634,Landmark Home Warranty,10701 South River Front Parkway,2nd Floor,South Jordan,84095,Insurance,2004,17039902,79,7.2448,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,98.88,A,"10897 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.914121,40.554334,20092659,2009,2660,MediConnect Global,10897 South Riverfront Pkwy,N/A,South Jordan,84095,Business Products & Services,1996,37908292,702,1.109,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,100,A,"10855 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.913388,40.55477,20090018,2009,18,MonaVie,10855 South River Front Parkway,N/A,South Jordan,84095,Food & Beverage,2005,854900000,450,58.83,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
USA.PointAddress,M,100,A,"10714 S River Front Pkwy, South Jordan, Utah, 84095",PointAddress,South Jordan,84095,USA,0,-111.912489,40.556588,20152652,2015,2652,National Institute of Medical Aesthetics,10714 S River Front Parkway, ,South Jordan,84095,Health,2009,3544081,33,1.3877,1,49035,UT,Salt Lake County,49,41620,"Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City, UT",7,49,35,113012,49035113012,1130.12,Census Tract 1130.12,G5020,S,6237099,0,40.5589561,-111.9207712
