Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"3441 Main St, Chula Vista, California, 91911",PointAddress,Chula Vista,91911,USA,0,-117.05976,32.594713,20130735,2013,737,Cyber Professional Solutions,3441 Main St Suite 104, ,Chula Vista,91911,Construction,2002,6584234,25,6.2236,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",432,6,73,13308,6073013308,133.08,Census Tract 133.08,G5020,S,1609626,0,32.5917561,-117.0490649
USA.PointAddress,M,100,A,"9191 Towne Centre Dr, San Diego, California, 92122",PointAddress,San Diego,92122,USA,0,-117.207278,32.873274,20152081,2015,2081,Abacus Data Systems,9191 Towne Centre Drive,Suite 180,San Diego,92122,IT Services,1983,18197248,68,1.8853,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",523,6,73,8340,6073008340,83.4,Census Tract 83.40,G5020,S,2286000,0,32.8680843,-117.2035179
USA.PointAddress,M,100,A,"9171 Towne Centre Dr, San Diego, California, 92122",PointAddress,San Diego,92122,USA,0,-117.207228,32.872021,20100117,2010,116,Anakam,9171 Towne Centre Drive, ,San Diego,92122,Security,2004,8385680,45,22.077,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",523,6,73,8340,6073008340,83.4,Census Tract 83.40,G5020,S,2286000,0,32.8680843,-117.2035179
USA.PointAddress,M,100,A,"6333 Greenwich Dr, San Diego, California, 92122",PointAddress,San Diego,92122,USA,0,-117.185753,32.855114,20120741,2012,741,Integrity First Financial Group,6333 Greenwich Drive Suite 280, ,San Diego,92122,Financial Services,2007,5553000,26,4.718,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",526,6,73,8345,6073008345,83.45,Census Tract 83.45,G5020,S,1912671,0,32.8501744,-117.1915868
USA.PointAddress,M,100,A,"5060 Shoreham Pl, San Diego, California, 92122",PointAddress,San Diego,92122,USA,0,-117.185192,32.851912,20141996,2014,1996,Miva Merchant,5060 Shoreham Place,Suite 130,San Diego,92122,Software,1997,9239104,68,2.0403,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",526,6,73,8345,6073008345,83.45,Census Tract 83.45,G5020,S,1912671,0,32.8501744,-117.1915868
USA.PointAddress,M,100,A,"6165 Greenwich Dr, San Diego, California, 92122",PointAddress,San Diego,92122,USA,0,-117.182963,32.853418,20080935,2008,932,Online Guru,6165 Greenwich Drive,Suite 150,San Diego,92122,Media,2003,16144181,20,3.9074,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",526,6,73,8345,6073008345,83.45,Census Tract 83.45,G5020,S,1912671,0,32.8501744,-117.1915868
USA.PointAddress,M,100,A,"6390 Greenwich Dr, San Diego, California, 92122",PointAddress,San Diego,92122,USA,0,-117.186229,32.855218,20144000,2014,4000,P-Fleet,6390 Greenwich Dr,Suite 200,San Diego,92122,Financial Services,1998,116400000,15,0.748,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",526,6,73,8345,6073008345,83.45,Census Tract 83.45,G5020,S,1912671,0,32.8501744,-117.1915868
USA.PointAddress,M,100,A,"124 W Main St, El Cajon, California, 92020",PointAddress,El Cajon,92020,USA,0,-116.963,32.794988,20100004,2010,4,Lexicon Consulting,"124 West Main Street, Suite 270", ,El Cajon,92020,Government Services,2005,14392043,50,140.177,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",582,6,73,15801,6073015801,158.01,Census Tract 158.01,G5020,S,625483,0,32.796887,-116.9593301
USA.StreetAddress,M,100,A,"1736 N Magnolia Ave, El Cajon, California, 92020",StreetAddress,El Cajon,92020,USA,0,-116.962382,32.823214,20152080,2015,2080,McWire electric,1736 n magnolia ave, ,El cajon,92020,Construction,1999,3984793,36,1.8863,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",629,6,73,16202,6073016202,162.02,Census Tract 162.02,G5020,S,6688646,0,32.8149599,-116.9711545
USA.StreetAddress,M,100,A,"9845 Via Pasar, San Diego, California, 92126",StreetAddress,San Diego,92126,USA,0,-117.119757,32.898469,20143590,2014,3590,Airsis,9845 Via Pasar, ,San Diego,92126,Software,1995,7202298,39,0.9048,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",689,6,73,8360,6073008360,83.6,Census Tract 83.60,G5020,S,2785971,0,32.8998834,-117.1295175
USA.PointAddress,M,100,A,"9520 Black Mountain Rd, San Diego, California, 92126",PointAddress,San Diego,92126,USA,0,-117.123414,32.896171,20151073,2015,1073,UltimoValue,9520 BLACK MOUNTAIN RD,ST D,SAN DIEGO,92126,Consumer Products & Services,2007,14187784,19,4.0293,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",689,6,73,8360,6073008360,83.6,Census Tract 83.60,G5020,S,2785971,0,32.8998834,-117.1295175
USA.PointAddress,M,100,A,"555 Raven St, San Diego, California, 92102",PointAddress,San Diego,92102,USA,0,-117.107588,32.711111,20102413,2010,2411,Montbleau & Associates,555 Raven St, ,San Diego,92102,Construction,1989,40244733,150,1.022,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",733,6,73,3403,6073003403,34.03,Census Tract 34.03,G5020,S,1386867,0,32.7136508,-117.1085938
USA.PointAddress,M,100,A,"5663 Balboa Ave, San Diego, California, 92111",PointAddress,San Diego,92111,USA,0,-117.179067,32.820063,20090677,2009,678,Test Country,5663 Balboa Ave #430,N/A,San Diego,92111,Health,2002,3198732,21,4.116,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",737,6,73,8509,6073008509,85.09,Census Tract 85.09,G5020,S,1952836,0,32.8149642,-117.171816
USA.StreetAddress,M,100,A,"124 N Rios Ave, Solana Beach, California, 92075",StreetAddress,Solana Beach,92075,USA,0,-117.269552,32.992718,20080693,2008,691,HealthFusion,124 N. RIOS AVE, ,Solana Beach,92075,Health,1998,5390553,50,4.9164,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",747,6,73,17303,6073017303,173.03,Census Tract 173.03,G5020,S,2689481,970615,33.0018093,-117.2636175
USA.PointAddress,M,100,A,"512 Via de La Valle, Solana Beach, California, 92075",PointAddress,Solana Beach,92075,USA,0,-117.260704,32.980297,20130983,2013,985,Fusion Academy and Learning Center,512 Via De la Valle,Suite 201,Solana Beach,92075,Education,1991,13168000,378,4.3725,1,6073,CA,San Diego County,6,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA",756,6,73,17304,6073017304,173.04,Census Tract 173.04,G5020,S,2729735,263564,32.9903701,-117.2633676
