Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"1975 W El Camino Real, Mountain View, California, 94040",PointAddress,Mountain View,94040,USA,0,-122.099072,37.394375,20081931,2008,1926,Digital Keystone,1975 W. El Camino Real #306, ,Mountain View,94040,Computer Hardware,2001,6867538,50,1.9328,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",917,6,85,509801,6085509801,5098.01,Census Tract 5098.01,G5020,S,1727247,0,37.378811,-122.0894803
USA.PointAddress,M,100,A,"15951 Los Gatos Blvd, Los Gatos, California, 95032",PointAddress,Los Gatos,95032,USA,0,-121.96252,37.237105,20140122,2014,122,Smashwords,15951 Los Gatos Blvd.,Suite 16,Los Gatos,95032,Media,2008,22037828,23,30.1857,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",920,6,85,506801,6085506801,5068.01,Census Tract 5068.01,G5020,S,2882476,0,37.2422217,-121.9563688
USA.PointAddress,M,100,A,"3375 Scott Blvd, Santa Clara, California, 95054",PointAddress,Santa Clara,95054,USA,0,-121.984611,37.380618,20101084,2010,1082,Adoresoft,3375 SCOTT BLVD, ,SANTA CLARA,95054,IT Services,2005,5440346,70,2.769,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.PointAddress,M,100,A,"3080 Olcott St, Santa Clara, California, 95054",PointAddress,Santa Clara,95054,USA,0,-121.967573,37.378202,20142877,2014,2877,Alpha Net Consulting,3080 Olcott St,Suite 235C,Santa Clara,95054,IT Services,2001,10410000,47,1.2748,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.PointAddress,M,100,A,"2320 Walsh Ave, Santa Clara, California, 95051",PointAddress,Santa Clara,95051,USA,0,-121.96647,37.369463,20152725,2015,2725,BBI Technologies,2320 Walsh Ave,STE A,Santa Clara,95051,IT Services,2002,5201777,63,1.3377,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.StreetAddress,M,100,A,"3393 Octavius Dr, Santa Clara, California, 95054",StreetAddress,Santa Clara,95054,USA,0,-121.970284,37.380217,20142899,2014,2899,Centrify,3393 Octavius Drive,Suite 100,Santa Clara,95054,Software,2004,45324628,365,1.2567,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.PointAddress,M,100,A,"3001 Coronado Dr, Santa Clara, California, 95054",PointAddress,Santa Clara,95054,USA,0,-121.972516,37.3763,20131243,2013,1245,E Systems Technology,3001 Coronado Dr., ,Santa Clara,95054,Manufacturing,2004,18976515,84,3.3027,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.PointAddress,M,100,A,"705 Reed St, Santa Clara, California, 95050",PointAddress,Santa Clara,95050,USA,0,-121.945195,37.359338,20133157,2013,3159,ECS Refining,705 Reed Street, ,Santa Clara,95050,Environmental Services,1980,83262521,375,1.0362,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.PointAddress,M,100,A,"2700 Augustine Dr, Santa Clara, California, 95054",PointAddress,Santa Clara,95054,USA,0,-121.97578,37.382323,20090142,2009,142,Go Internet Media,2700 Augustine Drive Suite 271,N/A,Santa Clara,95054,Advertising & Marketing,2004,7615145,35,12.419,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
USA.PointAddress,M,100,A,"2060 Walsh Ave, Santa Clara, California, 95050",PointAddress,Santa Clara,95050,USA,0,-121.961571,37.369483,20130623,2013,625,Infotech Spectrum,2060 Walsh Avenue # 130, ,Santa Clara,95050,IT Services,2003,16118468,22,7.3335,1,6085,CA,Santa Clara County,6,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA",922,6,85,505202,6085505202,5052.02,Census Tract 5052.02,G5020,S,9201412,0,37.3702336,-121.9605786
