Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"2203 258th St NE, Arlington, Washington, 98223",PointAddress,Arlington,98223,USA,0,-122.20094,48.229727,20080512,2008,511,Rainier Fisheries.,2203 258th St NE, ,Arlington,98223,Food & Beverage,1994,17714626,6,6.1739,1,53061,WA,Snohomish County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",32,53,61,53400,53061053400,534,Census Tract 534,G5020,S,129789186,349052,48.2773898,-122.1467616
USA.Postal,M,100,A,"98291, Snohomish, Washington",Postal,Snohomish,98291,USA,0,-122.09858,47.927553,20120411,2012,411,NW Auto Recyclers,PO Box 220, ,Lake Stevens,98291,Manufacturing,2008,13453772,27,9.068,1,53061,WA,Snohomish County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",35,53,61,52401,53061052401,524.01,Census Tract 524.01,G5020,S,3869483,279362,47.9255961,-122.0955436
USA.StreetAddress,M,92.43,A,"3500 188th St SW, Lynnwood, Washington, 98037",StreetAddress,Lynnwood,98037,USA,0,-122.280906,47.828161,20110800,2011,801,Epicenter Network,3500 188th st,suite 480,Lynnwood,98037,Advertising & Marketing,2005,24504113,33,3.892128,1,53061,WA,Snohomish County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",64,53,61,51702,53061051702,517.02,Census Tract 517.02,G5020,S,2167086,0,47.8312065,-122.2863838
USA.PointAddress,M,100,A,"15701 Nelson Pl, Seattle, Washington, 98188",PointAddress,Seattle,98188,USA,0,-122.243311,47.461587,20081496,2008,1492,Bayview Limousine Service,15701 Nelson Place, ,Seattle,98188,Logistics & Transportation,1990,5698000,85,2.5369,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"350 Midland Dr, Seattle, Washington, 98188",PointAddress,Seattle,98188,USA,0,-122.25716,47.445397,20111393,2011,1393,Chasing Fireflies,350 Midland Drive, ,Seattle,98188,Retail,2005,31780345,136,2.035701,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"16550 W Valley Hwy, Tukwila, Washington, 98188",PointAddress,Tukwila,98188,USA,0,-122.24315,47.454459,20144063,2014,4063,Fine Designs,16550 West Valley Hwy, ,Tukwila,98188,Consumer Products & Services,1993,19976673,500,0.7285,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"320 Andover Park E, Seattle, Washington, 98188",PointAddress,Seattle,98188,USA,0,-122.24996,47.454968,20092159,2009,2160,Global Aircraft Services,320 Andover Park East  #230,N/A,Seattle,98188,Logistics & Transportation,2000,5904949,5,1.463,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"555 Andover Park W, Tukwila, Washington, 98188",PointAddress,Tukwila,98188,USA,0,-122.254421,47.45179,20140783,2014,783,InDemand Interpreting,555 Andover Park West,Suite 201,Tukwila,98188,Health,2007,6361740,194,5.8059,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"14601 Interurban Ave S, Tukwila, Washington, 98168",PointAddress,Tukwila,98168,USA,0,-122.25517,47.472541,20083428,2008,3423,Northwest Computer Support,14601 Interurban Ave S, ,Tukwila,98168,IT Services,1977,9506000,53,0.9697,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"545 Andover Park W, Seattle, Washington, 98188",PointAddress,Seattle,98188,USA,0,-122.254421,47.45162,20142891,2014,2891,Strong-Bridge,545 Andover Park West,Suite 215,Seattle,98188,Business Products & Services,2003,27748578,140,1.2616,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.PointAddress,M,100,A,"16400 Southcenter Pkwy, Seattle, Washington, 98188",PointAddress,Seattle,98188,USA,0,-122.26242,47.455319,20083501,2008,3496,The Dow Hotel Company,16400 Southcenter Parkway,STE 206,Seattle,98188,Travel & Hospitality,1997,4152292,1800,0.9389,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",68,53,33,26200,53033026200,262,Census Tract 262,G5020,S,15261725,507783,47.4591441,-122.2435898
USA.StreetAddress,M,92.08,A,"19810 141st Pl NE, Woodinville, Washington, 98072",StreetAddress,Woodinville,98072,USA,0,-122.150998,47.770774,20132568,2013,2570,Summit Imaging,19810 141st Pl. NE, ,Woodinville,98033,Health,2006,6617416,18,1.3771,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",70,53,33,32319,53033032319,323.19,Census Tract 323.19,G5020,S,6814498,0,47.7595597,-122.1476582
USA.StreetAddress,M,90.92,A,"6709 176th Ave NE, Redmond, Washington, 98052",StreetAddress,Redmond,98052,USA,0,-122.105539,47.664853,20151882,2015,1882,DriveShop,6709 176th PL NE, ,Redmond,98052,Advertising & Marketing,1989,28982869,128,2.1046,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",71,53,33,32313,53033032313,323.13,Census Tract 323.13,G5020,S,13089861,436034,47.6705077,-122.0890065
USA.PointAddress,M,100,A,"7120 185th Ave NE, Redmond, Washington, 98052",PointAddress,Redmond,98052,USA,0,-122.093679,47.66882,20132368,2013,2370,Paizo Publishing,"7120 185th Ave NE, Ste 120", ,Redmond,98052,Retail,2002,11177925,42,1.525,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",71,53,33,32313,53033032313,323.13,Census Tract 323.13,G5020,S,13089861,436034,47.6705077,-122.0890065
USA.PointAddress,M,100,A,"17945 NE 65th St, Redmond, Washington, 98052",PointAddress,Redmond,98052,USA,0,-122.100941,47.663922,20131922,2013,1924,USCutter,17945 NE 65th St,Suite 200,Redmond,98052,Business Products & Services,2006,14180825,43,1.9627,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",71,53,33,32313,53033032313,323.13,Census Tract 323.13,G5020,S,13089861,436034,47.6705077,-122.0890065
USA.PointAddress,M,100,A,"1085 12th Ave NW, Issaquah, Washington, 98027",PointAddress,Issaquah,98027,USA,0,-122.057571,47.542021,20141396,2014,1396,HydroPeptide,1085 12th Ave NW,Ste D5,Issaquah,98027,Consumer Products & Services,2004,7867307,30,3.0708,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",74,53,33,32103,53033032103,321.03,Census Tract 321.03,G5020,S,4054489,0,47.5390597,-122.0487855
USA.StreetAddress,M,90.92,A,"165 NE Juniper St, Issaquah, Washington, 98027",StreetAddress,Issaquah,98027,USA,0,-122.032912,47.539139,20102164,2010,2162,Building I,165 NE Juniper, ,Issaquah,98027,Business Products & Services,2005,4941091,43,1.199,1,53033,WA,King County,53,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA",81,53,33,32210,53033032210,322.1,Census Tract 322.10,G5020,S,41785782,17076,47.5511781,-121.9640487
