Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.StreetName,M,88.65,A,"South Dr, Fenton, Missouri, 63026",StreetName,Fenton,63026,USA,0,-90.45705,38.515541,20150077,2015,77,Mid America Logistics,900 South Highway ste 202, ,Fenton,63026,Logistics & Transportation,2007,22118489,47,39.1843,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",30,29,189,221424,29189221424,2214.24,Census Tract 2214.24,G5020,S,4296611,0,38.512303,-90.4639367
USA.PointAddress,M,100,A,"330 Sun Valley Cir, Fenton, Missouri, 63026",PointAddress,Fenton,63026,USA,0,-90.463223,38.493647,20151467,2015,1467,True North Management Services,330 Sun Valley Circle, ,Fenton,63026,Telecommunications,2000,9180714,58,2.805,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",46,29,99,700210,29099700210,7002.1,Census Tract 7002.10,G5020,S,6272954,97881,38.4812618,-90.4663098
USA.StreetAddress,M,98.15,A,"10261 St Charles Rock Rd, Saint Ann, Missouri, 63074",StreetAddress,Saint Ann,63074,USA,0,-90.379923,38.726873,20150231,2015,231,Capital Consulting Services,10261 Saint Charles Rock Road,10259 Saint Charles Rock Road,Saint Louis,63074,Business Products & Services,2005,2110450,5,19.0362,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",163,29,189,213300,29189213300,2133,Census Tract 2133,G5020,S,4623900,0,38.7338007,-90.378341
USA.PointAddress,M,100,A,"17 Maryhill Dr, Saint Louis, Missouri, 63124",PointAddress,Saint Louis,63124,USA,0,-90.403762,38.656948,20101561,2010,1559,Education Technology Partners,17 Maryhill Drive, ,St. Louis,63124,Education,2003,4054481,14,1.848,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",168,29,189,215400,29189215400,2154,Census Tract 2154,G5020,S,11072408,0,38.6496313,-90.3798914
USA.StreetAddress,M,90.92,A,"600 Emerson Rd, Saint Louis, Missouri, 63141",StreetAddress,Saint Louis,63141,USA,0,-90.447342,38.666586,20151516,2015,1516,Krilogy Financial,600 Emerson,Suite 100,St. Louis,63141,Financial Services,2009,3824000,28,2.7054,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",181,29,189,215201,29189215201,2152.01,Census Tract 2152.01,G5020,S,11572448,0,38.6551734,-90.4610762
USA.StreetAddress,M,100,A,"1335 Strassner Dr, Saint Louis, Missouri, 63144",StreetAddress,Saint Louis,63144,USA,0,-90.336395,38.622735,20153248,2015,3248,Mortgage Returns,1335 Strassner Drive, ,St. Louis,63144,Financial Services,2004,6081838,38,1.0406,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",188,29,189,217300,29189217300,2173,Census Tract 2173,G5020,S,2295257,0,38.6204647,-90.3412101
USA.StreetAddress,M,100,A,"8085 Manchester Rd, Saint Louis, Missouri, 63144",StreetAddress,Saint Louis,63144,USA,0,-90.335828,38.61185,20082650,2008,2644,Thalden Emery Architects,8085 Manchester Road, ,St. Louis,63144,Construction,1971,6408374,50,1.3804,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",188,29,189,217300,29189217300,2173,Census Tract 2173,G5020,S,2295257,0,38.6204647,-90.3412101
USA.Postal,M,100,A,"63144, Saint Louis, Missouri",Postal,Saint Louis,63144,USA,0,-90.35184,38.623693,20133039,2013,3041,SensoryEffects,SensoryEffects,"1401 S. Brentwood Blvd., Suite 375",St. Louis,63144,Food & Beverage,2006,151500000,400,1.0987,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",190,29,189,217400,29189217400,2174,Census Tract 2174,G5020,S,1978929,0,38.622534,-90.3544992
USA.PointAddress,M,100,A,"10805 Sunset Office Dr, Saint Louis, Missouri, 63127",PointAddress,Saint Louis,63127,USA,0,-90.410748,38.556597,20102355,2010,2353,Captiva Marketing,10805 Sunset Office Dr., ,St. Louis,63127,Advertising & Marketing,2002,2110834,19,1.061,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",205,29,189,221201,29189221201,2212.01,Census Tract 2212.01,G5020,S,13027339,106115,38.5344935,-90.4173867
USA.PointAddress,M,100,A,"3636 S Geyer Rd, Saint Louis, Missouri, 63127",PointAddress,Saint Louis,63127,USA,0,-90.416286,38.55291,20150956,2015,956,Gemini Consulting & Services,3636 S Geyer Road Suite 270,Sunset hills,Saint Louis,63127,IT Services,2010,8410722,75,4.6466,1,29189,MO,St. Louis County,29,41180,"St. Louis, MO-IL Metropolitan Statistical Area","St. Louis, MO-IL",205,29,189,221201,29189221201,2212.01,Census Tract 2212.01,G5020,S,13027339,106115,38.5344935,-90.4173867
