Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"425 E Spruce St, Tarpon Springs, Florida, 34689",PointAddress,Tarpon Springs,34689,USA,0,-82.751641,28.152698,20153849,2015,3849,imageMEDIA.com,425 East Spruce St, ,Tarpon Springs,34689,Advertising & Marketing,1998,5334186,33,0.7872,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",667,12,103,27401,12103027401,274.01,Census Tract 274.01,G5020,S,3223883,851937,28.1530472,-82.743291
USA.PointAddress,M,100,A,"6619 State Road 54, New Port Richey, Florida, 34653",PointAddress,New Port Richey,34653,USA,0,-82.704931,28.217138,20110147,2011,148,DisputeSuite.com,6619 State Road 54, ,New Port Richey,34653,Software,0,2084300,12,18.94546,1,12101,FL,Pasco County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",722,12,101,31404,12101031404,314.04,Census Tract 314.04,G5020,S,2467099,0,28.2233593,-82.7149808
USA.Postal,M,100,A,"33617, Tampa, Florida",Postal,Tampa,33617,USA,0,-82.400577,28.032681,20152398,2015,2398,Corporate Computer Solutions,Corporate Computer Solutions,11450 N 53th St,Tampa,33617,IT Services,2007,7175648,80,1.5789,1,12057,FL,Hillsborough County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",735,12,57,102,12057000102,1.02,Census Tract 1.02,G5020,S,3362557,57019,28.0380365,-82.4109883
USA.Postal,M,100,A,"33617, Tampa, Florida",Postal,Tampa,33617,USA,0,-82.400577,28.032681,20073204,2007,3204,HSA Engineers & Scientists, , ,Tampa,33617,Environmental Services,1989,28289634,211,0.9793,1,12057,FL,Hillsborough County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",735,12,57,102,12057000102,1.02,Census Tract 1.02,G5020,S,3362557,57019,28.0380365,-82.4109883
USA.PointAddress,M,100,A,"1001 Saint Petersburg Dr W, Oldsmar, Florida, 34677",PointAddress,Oldsmar,34677,USA,0,-82.678178,28.036943,20080115,2008,115,Advanced Interactive Sciences,1001 St Petersburg Drive West, ,Oldsmar,34677,Advertising & Marketing,2002,16425236,57,17.6636,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",1012,12,103,27320,12103027320,273.2,Census Tract 273.20,G5020,S,6745730,9353629,28.0152478,-82.664529
USA.Postal,M,100,A,"34677, Oldsmar, Florida",Postal,Oldsmar,34677,USA,0,-82.675101,28.038922,20093198,2009,3199,Complete Property Services,140 South Pine Avenue,N/A,Oldsmar,34677,Construction,1984,43982530,148,0.825,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",1012,12,103,27320,12103027320,273.2,Census Tract 273.20,G5020,S,6745730,9353629,28.0152478,-82.664529
USA.PointAddress,M,100,A,"1001 Saint Petersburg Dr W, Oldsmar, Florida, 34677",PointAddress,Oldsmar,34677,USA,0,-82.678178,28.036943,20090417,2009,418,Ignite Media Solutions,1001 St Petersburg Drive West,N/A,Oldsmar,34677,Advertising & Marketing,2002,37054898,68,6.181,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",1012,12,103,27320,12103027320,273.2,Census Tract 273.20,G5020,S,6745730,9353629,28.0152478,-82.664529
USA.PointAddress,M,100,A,"110 State St E, Oldsmar, Florida, 34677",PointAddress,Oldsmar,34677,USA,0,-82.662485,28.036915,20153120,2015,3120,Point & Pay,110 State St E,Suite D,Oldsmar,34677,Financial Services,1999,16845000,40,1.108,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",1012,12,103,27320,12103027320,273.2,Census Tract 273.20,G5020,S,6745730,9353629,28.0152478,-82.664529
USA.Postal,M,100,A,"34677, Oldsmar, Florida",Postal,Oldsmar,34677,USA,0,-82.675101,28.038922,20071326,2007,1326,The Gaelic Trading Co., , ,Oldsmar,34677,Business Products & Services,2001,17530225,85,2.6943,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",1012,12,103,27320,12103027320,273.2,Census Tract 273.20,G5020,S,6745730,9353629,28.0152478,-82.664529
USA.Postal,M,100,A,"34677, Oldsmar, Florida",Postal,Oldsmar,34677,USA,0,-82.675101,28.038922,20152963,2015,2963,VOLOGY,Vology,4035 Tampa Rd,oldsmar,34677,Computer Hardware,2002,167800000,210,1.1832,1,12103,FL,Pinellas County,12,45300,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","Tampa-St. Petersburg-Clearwater, FL",1012,12,103,27320,12103027320,273.2,Census Tract 273.20,G5020,S,6745730,9353629,28.0152478,-82.664529
