Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,Nbrhd
USA.PointAddress,M,100,A,"1301 Cuesta Arriba Ct NE, Albuquerque, New Mexico, 87113",PointAddress,Albuquerque,87113,USA,0,-106.609299,35.170138,20082921,2008,2914,"Access Technologies, Inc.",1301 Cuesta Arriba Ct NE,Suite B,Albuquerque,87113,IT Services,1995,3980373,15,1.229,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",328,35,1,3735,35001003735,37.35,Census Tract 37.35,G5020,S,7303805,29997,35.1543692,-106.6144409, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,1301, , ,L, ,Cuesta,Arriba,Ct,NE,1301 Cuesta Arriba Ct NE, 
USA.StreetName,M,90.54,A,"N Pan American Fwy NE, Albuquerque, New Mexico, 87109",StreetName,Albuquerque,87109,USA,0,-106.587887,35.151011,20153214,2015,3214,Affordable Solar,4840 Pan American Fwy NE, ,Albuquerque,87109,Energy,1998,46440000,160,1.0581,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",410,35,1,3733,35001003733,37.33,Census Tract 37.33,G5020,S,2244364,13995,35.1386183,-106.5952892, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , ,N, ,Pan American,Fwy,NE,N Pan American Fwy NE, 
USA.StreetAddress,M,92.43,A,"8724 Alameda Park NE, Albuquerque, New Mexico, 87113",StreetAddress,Albuquerque,87113,USA,0,-106.6062,35.184123,20080627,2008,625,American Clay Enterprises,8724 Alameda Park Drive NE, ,Albuquerque,87113,Manufacturing,2002,2771393,19,5.2764,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",328,35,1,3735,35001003735,37.35,Census Tract 37.35,G5020,S,7303805,29997,35.1543692,-106.6144409, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,8724,8712,8798,R, , ,Alameda,Park,NE,8724 Alameda Park NE, 
USA.StreetAddress,M,90.92,A,"3435 Girard Blvd NE, Albuquerque, New Mexico, 87107",StreetAddress,Albuquerque,87107,USA,0,-106.613806,35.119298,20083042,2008,3035,Andy Lee General Contractor,3435 B Girard NE, ,Albuquerque,87107,Construction,1998,2863200,12,1.1651,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",345,35,1,3400,35001003400,34,Census Tract 34,G5020,S,8189934,61240,35.1219385,-106.6185228, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,3435,3201,3499,L, , ,Girard,Blvd,NE,3435 Girard Blvd NE, 
USA.PointAddress,M,100,A,"320 Ranchitos Rd NW, Albuquerque, New Mexico, 87114",PointAddress,Albuquerque,87114,USA,0,-106.632585,35.172144,20150463,2015,463,Burgos Group,320 Ranchitos Road NW,Suite B,Albuquerque,87114,Government Services,2006,7978734,85,9.9798,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",359,35,1,3501,35001003501,35.01,Census Tract 35.01,G5020,S,6570065,0,35.158905,-106.6288541, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,320, , ,L, , ,Ranchitos,Rd,NW,320 Ranchitos Rd NW, 
USA.PointAddress,M,100,A,"7801 Academy Rd NE, Albuquerque, New Mexico, 87109",PointAddress,Albuquerque,87109,USA,0,-106.557661,35.145388,20142704,2014,2704,CAaNES,7801 Academy Rd. NE,Suite 1-202,Albuquerque,87109,Security,2006,2987282,21,1.3832,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",405,35,1,3724,35001003724,37.24,Census Tract 37.24,G5020,S,1771490,0,35.1510588,-106.5649171, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,7801, , ,R, , ,Academy,Rd,NE,7801 Academy Rd NE, 
USA.PointAddress,M,100,A,"4801 Lincoln Rd NE, Albuquerque, New Mexico, 87109",PointAddress,Albuquerque,87109,USA,0,-106.590021,35.142038,20083259,2008,3253,"Delta Group Electronics, Inc.",4801 Lincoln Road NE, ,Albuquerque,87109,Manufacturing,1987,45473252,280,1.0425,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",410,35,1,3733,35001003733,37.33,Census Tract 37.33,G5020,S,2244364,13995,35.1386183,-106.5952892, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,4801, , ,R, , ,Lincoln,Rd,NE,4801 Lincoln Rd NE, 
USA.PointAddress,M,100,A,"400 Gold Ave SW, Albuquerque, New Mexico, 87102",PointAddress,Albuquerque,87102,USA,0,-106.652195,35.083613,20082612,2008,2606,"DW Turner, Inc.","400 Gold Avenue, SW",Suite 700,Albuquerque,87102,Advertising & Marketing,1998,3028567,25,1.4058,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",379,35,1,2100,35001002100,21,Census Tract 21,G5020,S,1276195,0,35.0857393,-106.6501949, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,400, , ,L, , ,Gold,Ave,SW,400 Gold Ave SW, 
USA.Postal,M,100,A,"87124, Rio Rancho, New Mexico",Postal,Rio Rancho,87124,USA,0,-106.716372,35.246319,20083329,2008,3323,Energy Control,2600 American Rd. SE,Suite #110,Albuquerque,87124,Energy,1976,14247406,65,1.0077,1,35043,NM,Sandoval County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",229,35,43,10713,35043010713,107.13,Census Tract 107.13,G5020,S,4867100,0,35.2485103,-106.7322148, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.PointAddress,M,100,A,"1805 Rio Grande Blvd NW, Albuquerque, New Mexico, 87104",PointAddress,Albuquerque,87104,USA,0,-106.673361,35.111485,20111554,2011,1554,GenQuest,1805 Rio Grande Blvd. NW Suite 2, ,Albuquerque,87104,Government Services,0,6676844,55,1.776886,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",402,35,1,3001,35001003001,30.01,Census Tract 30.01,G5020,S,2985368,0,35.1156877,-106.6657918, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,1805, , ,L, , ,Rio Grande,Blvd,NW,1805 Rio Grande Blvd NW, 
