Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.Postal,M,100,A,"30319, Atlanta, Georgia",Postal,Atlanta,30319,USA,0,-84.333426,33.865765,20082321,2008,2315,MedSide,PO Box 190996, ,Atlanta,30319,Health,2000,3807000,130,1.588,1,13089,GA,DeKalb County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",6,13,89,21411,13089021411,214.11,Census Tract 214.11,G5020,S,1667281,0,33.8667772,-84.329312
USA.StreetAddress,M,100,A,"5965 Peachtree Cnrs E, Norcross, Georgia, 30071",StreetAddress,Norcross,30071,USA,0,-84.225151,33.950623,20081365,2008,1361,"DCO Distribution, Inc.",5965 Peachtree Corners East,Suite A2,Norcross,30071,Telecommunications,2003,2857841,9,2.7866,1,13135,GA,Gwinnett County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",9,13,135,50311,13135050311,503.11,Census Tract 503.11,G5020,S,4924718,6728,33.948537,-84.2126207
USA.StreetAddress,M,92.43,A,"5240 Langford Park Dr NW, Norcross, Georgia, 30071",StreetAddress,Norcross,30071,USA,0,-84.199242,33.951662,20143123,2014,3123,Leonisa USA,5240 Langford Park Dr, ,Norcross,30071,Retail,2007,6229322,18,1.1293,1,13135,GA,Gwinnett County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",9,13,135,50311,13135050311,503.11,Census Tract 503.11,G5020,S,4924718,6728,33.948537,-84.2126207
USA.StreetAddress,M,100,A,"3105 Medlock Bridge Rd, Norcross, Georgia, 30071",StreetAddress,Norcross,30071,USA,0,-84.208124,33.957521,20083518,2008,3513,"Lowden & Associates, Inc",3105 Medlock Bridge Road, ,Norcross,30071,Human Resources,1998,55214074,0,0.9333,1,13135,GA,Gwinnett County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",9,13,135,50311,13135050311,503.11,Census Tract 503.11,G5020,S,4924718,6728,33.948537,-84.2126207
USA.StreetAddress,M,100,A,"3103 Medlock Bridge Rd, Norcross, Georgia, 30071",StreetAddress,Norcross,30071,USA,0,-84.208118,33.95747,20142022,2014,2022,Southern Lighting Source,3103 Medlock Bridge Road, ,Norcross,30071,Construction,2006,12943000,14,2.0018,1,13135,GA,Gwinnett County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",9,13,135,50311,13135050311,503.11,Census Tract 503.11,G5020,S,4924718,6728,33.948537,-84.2126207
USA.PointAddress,M,100,A,"1155 Perimeter Ctr W, Atlanta, Georgia, 30338",PointAddress,Atlanta,30338,USA,0,-84.349755,33.930525,20120467,2012,467,AirWatch,1155 Perimeter Center West,Suite 100,Atlanta,30338,Software,2003,21729345,344,8.209,1,13089,GA,DeKalb County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"4 Concourse Pkwy, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.35323,33.916855,20122064,2012,2064,Allconnect,4 Concourse Pkwy Suite 410, ,Atlanta,30328,Consumer Products & Services,1998,97543435,652,1.273,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"5901 Peachtree-Dunwoody Rd, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.351151,33.916209,20080612,2008,610,BroadSource,5901C Peachtree Dunwoody Rd.,Suite 300,Atlanta,30328,Business Products & Services,2000,2719375,22,5.3905,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.PointAddress,M,100,A,"990 Hammond Dr, Atlanta, Georgia, 30328",PointAddress,Atlanta,30328,USA,0,-84.354991,33.918968,20130575,2013,577,E4E Solutions,990 Hammond Drive,Suite 1010,Atlanta,30328,Energy,2007,6158703,20,7.8441,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.PointAddress,M,100,A,"1150 Hammond Dr, Atlanta, Georgia, 30328",PointAddress,Atlanta,30328,USA,0,-84.347893,33.919311,20130698,2013,700,Equity Loans,1150 Hammond Drive,"Bldg. E, Ste. 650",Atlanta,30328,Financial Services,2008,23055341,201,6.5481,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"5 Concourse Pkwy, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.354744,33.917386,20150145,2015,145,Futurewave Systems,5 Concourse Parkway,Suite 3000,Atlanta,30328,Human Resources,2006,7700350,208,27.0013,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"6 Concourse Pkwy, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.355721,33.917458,20083586,2008,3581,General Freight Services,Six Concourse Parkway,Suite #1750,Atlanta,30328,Logistics & Transportation,1999,63582128,67,0.9026,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"5775 Glenridge Dr, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.361779,33.912414,20130532,2013,534,GoldMax,5775-C Glenridge Drive,Suite 200,Atlanta,30328,Retail,2009,267900000,527,8.5302,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"5901 Peachtree-Dunwoody Rd, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.351151,33.916209,20091356,2009,1357,Hathaway Construction Company,5901-C Peachtree Dunwoody Road,Suite 125,Atlanta,30328,Construction,1990,150600000,39,2.351,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"2 Concourse Pkwy, Atlanta, Georgia, 30328",StreetAddress,Atlanta,30328,USA,0,-84.355711,33.917511,20142756,2014,2756,HealthLink Dimensions,2 Concourse Pkwy.,Suite 300,Atlanta,30328,Business Products & Services,1998,4309000,13,1.3495,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.StreetAddress,M,100,A,"1117 Perimeter Ctr W, Atlanta, Georgia, 30338",StreetAddress,Atlanta,30338,USA,0,-84.349279,33.930307,20143250,2014,3250,Jabian Consulting,1117 Perimeter Center West,Suite N400,Atlanta,30338,IT Services,2006,19426068,92,1.0621,1,13089,GA,DeKalb County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.PointAddress,M,100,A,"990 Hammond Dr, Atlanta, Georgia, 30328",PointAddress,Atlanta,30328,USA,0,-84.354991,33.918968,20151568,2015,1568,JDC Group,990 Hammond Drive,Suite 750,Atlanta,30328,IT Services,2005,12021731,141,2.5972,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
USA.Postal,M,100,A,"30328, Atlanta, Georgia",Postal,Atlanta,30328,USA,0,-84.354246,33.92208,20133634,2013,3635,LSN Mobile,"LSN Mobile, Inc (DBA as LSN Mobile)","1000 Abernathy Rd, Ste 1550",Atlanta,30328,Media,2001,8970151,27,0.8253,1,13121,GA,Fulton County,13,12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA",49,13,121,10110,13121010110,101.1,Census Tract 101.10,G5020,S,5333853,58868,33.9215273,-84.3617715
