Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"5457 Twin Knolls Rd, Columbia, Maryland, 21045",PointAddress,Columbia,21045,USA,0,-76.843775,39.220864,20111547,2011,1547,Agency Consulting Group,5457 Twin Knolls Road,Suite 301,Columbia,21045,Government Services,2004,12009897,64,1.789249,1,24027,MD,Howard County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",7,24,27,606603,24027606603,6066.03,Census Tract 6066.03,G5020,S,4631692,0,39.2089096,-76.844854
USA.PointAddress,M,95.6,A,"640 Frederick Rd, Catonsville, Maryland, 21228",PointAddress,Catonsville,21228,USA,0,-76.731327,39.272098,20141286,2014,1286,Mindgrub,640 Frederick Rd, ,Baltimore,21228,Software,2002,3446983,40,3.3655,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",11,24,5,400800,24005400800,4008,Census Tract 4008,G5020,S,1472872,0,39.2794434,-76.7353675
USA.PointAddress,M,100,A,"1009 Butterworth Ct, Stevensville, Maryland, 21666",PointAddress,Stevensville,21666,USA,0,-76.312542,38.974505,20083907,2008,3902,Thomas Associates Inc.,1009 Butterworth Court, ,Stevensville,21666,Government Services,1988,9775669,80,0.7664,1,24035,MD,Queen Anne's County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",15,24,35,810901,24035810901,8109.01,Census Tract 8109.01,G5020,S,27177042,13688906,38.940139,-76.3357899
USA.StreetAddress,M,100,A,"125 Twin Cove Rd, Stevensville, Maryland, 21666",StreetAddress,Stevensville,21666,USA,0,-76.353187,38.884564,20080802,2008,799,Federal Concepts,125 Twin Cove Road, ,Stevensville,21666,IT Services,2001,6234735,49,4.447,1,24035,MD,Queen Anne's County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",24,24,35,810902,24035810902,8109.02,Census Tract 8109.02,G5020,S,13886174,8403917,38.8599751,-76.3645444
USA.PointAddress,M,96.07,A,"1133 Greenwood Rd, Pikesville, Maryland, 21208",PointAddress,Pikesville,21208,USA,0,-76.733909,39.370726,20143157,2014,3157,DC Dental,1133 Greenwood Road, ,Baltimore,21208,Health,2002,43341525,95,1.1113,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",26,24,5,403300,24005403300,4033,Census Tract 4033,G5020,S,1721044,4597,39.3660523,-76.7353449
USA.StreetAddress,M,100,A,"10950 Gilroy Rd, Hunt Valley, Maryland, 21031",StreetAddress,Hunt Valley,21031,USA,0,-76.660938,39.484857,20112183,2011,2183,Carchex,10950 Gilroy Road,Suite D,Hunt Valley,21031,Consumer Products & Services,2003,12545111,52,1.145425,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",41,24,5,408400,24005408400,4084,Census Tract 4084,G5020,S,9960313,67816,39.4815609,-76.6522133
USA.PointAddress,M,100,A,"307 International Cir, Hunt Valley, Maryland, 21030",PointAddress,Hunt Valley,21030,USA,0,-76.664652,39.501324,20143735,2014,3735,ConnectYourCare,307 International Circle,Suite 200,Hunt Valley,21030,Health,2002,18588000,95,0.8466001,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",41,24,5,408400,24005408400,4084,Census Tract 4084,G5020,S,9960313,67816,39.4815609,-76.6522133
USA.StreetAddress,M,92.08,A,"307 International Cir, Hunt Valley, Maryland, 21030",StreetAddress,Hunt Valley,21030,USA,0,-76.665001,39.499836,20143279,2014,3279,Heritage Financial Consultants,"307 International Circle, Suite 390","307 International Circle, Suite 390",Hunt Valley,21117,Financial Services,1999,18520679,76,1.0407,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",41,24,5,408400,24005408400,4084,Census Tract 4084,G5020,S,9960313,67816,39.4815609,-76.6522133
USA.PointAddress,M,100,A,"201 Old Padonia Rd, Cockeysville, Maryland, 21030",PointAddress,Cockeysville,21030,USA,0,-76.637614,39.457183,20150913,2015,913,Symphony Placements,201 Old Padonia Road, ,Cockeysville,21030,Human Resources,2006,8414120,321,4.9187,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",41,24,5,408400,24005408400,4084,Census Tract 4084,G5020,S,9960313,67816,39.4815609,-76.6522133
USA.PointAddress,M,100,A,"11350 McCormick Rd, Hunt Valley, Maryland, 21031",PointAddress,Hunt Valley,21031,USA,0,-76.658867,39.493167,20112278,2011,2278,TrainingPro,11350 McCormick Road,"Executive Plaza III, Suite 1001",Hunt Valley,21031,Education,0,11833322,30,1.07127,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",41,24,5,408400,24005408400,4084,Census Tract 4084,G5020,S,9960313,67816,39.4815609,-76.6522133
USA.PointAddress,M,100,A,"9690 Deereco Rd, Timonium, Maryland, 21093",PointAddress,Timonium,21093,USA,0,-76.63998,39.453516,20080064,2008,64,Bill Me Later,9690 Deereco Road,7th Floor,Timonium,21093,Business Products & Services,2002,86034000,200,25.7352,1,24005,MD,Baltimore County,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",42,24,5,408505,24005408505,4085.05,Census Tract 4085.05,G5020,S,4061576,5404,39.4487877,-76.6217156
USA.Postal,M,100,A,"21230, Baltimore, Maryland",Postal,Baltimore,21230,USA,0,-76.610723,39.274875,20150994,2015,994,Arch Systems,"Arch Systems, LLC","1800 Washington Blvd, suite 421",Baltimore,21230,Government Services,2006,3863197,15,4.4151,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",188,24,510,240300,24510240300,2403,Census Tract 2403,G5020,S,200561,0,39.2758586,-76.6105164
USA.StreetAddress,M,90.92,A,"921 E Fort Ave, Baltimore, Maryland, 21230",StreetAddress,Baltimore,21230,USA,0,-76.601114,39.271544,20092392,2009,2393,Passport Health,921 E. Fort Aveune,Suite 100,Baltimore,21230,Health,1994,56385978,28,1.268,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",192,24,510,240400,24510240400,2404,Census Tract 2404,G5020,S,1204640,965344,39.2645268,-76.6055985
USA.PointAddress,M,100,A,"921 E Fort Ave, Baltimore, Maryland, 21230",PointAddress,Baltimore,21230,USA,0,-76.600581,39.271345,20102859,2010,2857,Studio 921 Salon & Day Spa,921 East Fort Avenue Suite 108, ,Baltimore,21230,Consumer Products & Services,2004,2300000,48,0.769,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",192,24,510,240400,24510240400,2404,Census Tract 2404,G5020,S,1204640,965344,39.2645268,-76.6055985
USA.StreetAddress,M,100,A,"4000 Dillon St, Baltimore, Maryland, 21224",StreetAddress,Baltimore,21224,USA,0,-76.562888,39.281716,20132865,2013,2867,Intelect,4000 Dillon Street, ,Baltimore,21224,Engineering,1995,24084534,122,1.1941,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",200,24,510,260900,24510260900,2609,Census Tract 2609,G5020,S,550659,0,39.2833026,-76.565649
USA.StreetAddress,M,100,A,"40 E Cross St, Baltimore, Maryland, 21230",StreetAddress,Baltimore,21230,USA,0,-76.612859,39.277011,20112296,2011,2296,Blue Sky Factory,40 East Cross Street, ,Baltimore,21230,Advertising & Marketing,2001,4760039,27,1.057388,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",202,24,510,230200,24510230200,2302,Census Tract 2302,G5020,S,217597,0,39.2740126,-76.6134847
USA.PointAddress,M,100,A,"711 W 40th St, Baltimore, Maryland, 21211",PointAddress,Baltimore,21211,USA,0,-76.63068,39.337094,20083640,2008,3635,American Substance Abuse Professionals,711 W. 40th St.,Ste 235,Baltimore,21211,Business Products & Services,1999,2988835,30,0.8725,1,24510,MD,Baltimore city,24,12580,"Baltimore-Towson, MD Metropolitan Statistical Area","Baltimore-Towson, MD",211,24,510,130700,24510130700,1307,Census Tract 1307,G5020,S,1055552,0,39.3366684,-76.6316576
