Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.StreetAddress,M,100,M,"1550 Montgomery Hwy, Hoover, Alabama, 35216",StreetAddress,Hoover,35216,USA,0,-86.80669133,33.40862998,20150619,2015,619,24e Fitness,1550-B Montgomery Hwy, ,Hoover,35216,Health,2010,2036581,58,7.362,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",174,1,73,14409,1073014409,144.09,Census Tract 144.09,G5020,S,4368348,42373,33.3928079,-86.8141097
USA.PointAddress,M,100,A,"1110 23rd St S, Birmingham, Alabama, 35205",PointAddress,Birmingham,35205,USA,0,-86.790943,33.503425,20150525,2015,525,Spartan Value Investors,1110 23rd Street South, ,Birmingham,35205,Real Estate,2010,7078486,6,8.8391,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",181,1,73,4901,1073004901,49.01,Census Tract 49.01,G5020,S,959213,0,33.4971594,-86.791744
USA.PointAddress,M,100,A,"700 Montgomery Hwy, Birmingham, Alabama, 35216",PointAddress,Birmingham,35216,USA,0,-86.790932,33.446711,20132555,2013,2557,ITAC Solutions,700 Montgomery Highway,Suite 148,Birmingham,35216,Human Resources,2000,18309947,318,1.3851,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",199,1,73,12915,1073012915,129.15,Census Tract 129.15,G5020,S,5687973,8176,33.4301948,-86.7978962
USA.StreetAddress,M,100,A,"2 Perimeter Park S, Birmingham, Alabama, 35243",StreetAddress,Birmingham,35243,USA,0,-86.724097,33.438314,20150967,2015,967,PharmaPoint,2 Perimeter Park South,STE 300E,Birmingham,35243,Health,2005,12168013,44,4.5949,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",201,1,73,12910,1073012910,129.1,Census Tract 129.10,G5020,S,6387321,161177,33.4278537,-86.7318809
USA.PointAddress,M,100,A,"1 Perimeter Park S, Birmingham, Alabama, 35243",PointAddress,Birmingham,35243,USA,0,-86.724524,33.437734,20152310,2015,2310,The Onin Group,1 Perimeter Park South,Suite 450 N,Birmingham,35243,Human Resources,1994,251200000,10400,1.6816,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",201,1,73,12910,1073012910,129.1,Census Tract 129.10,G5020,S,6387321,161177,33.4278537,-86.7318809
USA.StreetAddress,M,100,A,"3179 Green Valley Rd, Birmingham, Alabama, 35243",StreetAddress,Birmingham,35243,USA,0,-86.731907,33.460174,20150606,2015,606,Patient Engagement Advisors,3179 Green Valley Road,#501,Birmingham,35243,Health,2008,7240488,75,7.5257,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",202,1,73,12802,1073012802,128.02,Census Tract 128.02,G5020,S,2833922,376,33.4582894,-86.7384274
USA.StreetAddress,M,100,A,"1400 Urban Center Dr, Vestavia Hills, Alabama, 35242",StreetAddress,Vestavia Hills,35242,USA,0,-86.704007,33.481562,20082709,2008,2703,Energy Systems Southeast LLC,1400 Urban Center Drive,Suite 100,Vestavia Hills,35242,Construction,2001,8086000,25,1.3519,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",229,1,73,12703,1073012703,127.03,Census Tract 127.03,G5020,S,30919966,1725588,33.4676188,-86.690749
USA.StreetAddress,M,100,A,"3000 Riverchase Galleria, Birmingham, Alabama, 35244",StreetAddress,Birmingham,35244,USA,0,-86.810537,33.3773,20122431,2012,2431,MEDSEEK,3000 Riverchase Galleria,Suite 1500,Birmingham,35244,Health,1996,50249000,288,1.003,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",230,1,73,14408,1073014408,144.08,Census Tract 144.08,G5020,S,3241759,194268,33.3696714,-86.8141908
USA.StreetAddress,M,100,A,"1550 Woods of Riverchase Dr, Birmingham, Alabama, 35244",StreetAddress,Birmingham,35244,USA,0,-86.786138,33.357337,20153469,2015,3469,TicketBiscuit,1550 WOODS OF RIVERCHASE DR,STE 330,BIRMINGHAM,35244,Business Products & Services,2001,4352970,35,0.9297,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",329,1,117,30314,1117030314,303.14,Census Tract 303.14,G5020,S,5407150,129657,33.3568736,-86.7917051
USA.PointAddress,M,100,A,"508 Lane Park Run, Maylene, Alabama, 35114",PointAddress,Maylene,35114,USA,0,-86.854235,33.201758,20082167,2008,2160,Bowlin,508 lane park run, ,Maylene,35114,Construction,2002,2795456,37,1.7054,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",360,1,117,30604,1117030604,306.04,Census Tract 306.04,G5020,S,25138481,364100,33.1840157,-86.8452865
USA.StreetAddress,M,92.08,A,"220 Scotland Dr, Alabaster, Alabama, 35007",StreetAddress,Alabaster,35007,USA,0,-86.758997,33.186396,20110156,2011,157,The Iron Door Company,220 Scotland Drive, ,Alabaster,35080,Consumer Products & Services,0,2018592,7,18.38996,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",383,1,117,30609,1117030609,306.09,Census Tract 306.09,G5020,S,109919048,2193785,33.2328201,-86.7308277
USA.StreetAddress,M,98.35,A,"100 Cahaba Valley Pkwy W, Pelham, Alabama, 35124",StreetAddress,Pelham,35124,USA,0,-86.789368,33.340564,20152003,2015,2003,Digital Marketing Services,100 Cahaba Valley Parkway W, ,Birmingham,35124,Advertising & Marketing,2006,3820364,27,1.9705,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",384,1,117,30315,1117030315,303.15,Census Tract 303.15,G5020,S,13760163,27651,33.3206714,-86.7920551
USA.StreetAddress,M,100,A,"2500 Southlake Park, Birmingham, Alabama, 35244",StreetAddress,Birmingham,35244,USA,0,-86.769117,33.360395,20143668,2014,3668,Employment Screening Services,2500 Southlake Park, ,Birmingham,35244,Human Resources,1994,12393822,58,0.8752,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",389,1,117,30305,1117030305,303.05,Census Tract 303.05,G5020,S,10377011,24990,33.3503953,-86.7685358
USA.StreetAddress,M,100,A,"105 Corporate Woods Cir, Alabaster, Alabama, 35007",StreetAddress,Alabaster,35007,USA,0,-86.791386,33.18924,20153436,2015,3436,Birmingham Industrial Construction,105 Corporate Woods Circle, ,Alabaster,35007,Construction,2006,25619511,40,0.9457,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",390,1,117,30605,1117030605,306.05,Census Tract 306.05,G5020,S,29099982,330926,33.1761775,-86.799033
USA.StreetAddress,M,100,A,"105 Corporate Woods Cir, Alabaster, Alabama, 35007",StreetAddress,Alabaster,35007,USA,0,-86.791386,33.18924,20150712,2015,712,Kwest Enterprises,105 Corporate Woods Circle, ,Alabaster,35007,Construction,2007,3235784,5,6.3107,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",390,1,117,30605,1117030605,306.05,Census Tract 306.05,G5020,S,29099982,330926,33.1761775,-86.799033
USA.StreetAddress,M,100,A,"100 Corporate Pkwy, Birmingham, Alabama, 35242",StreetAddress,Birmingham,35242,USA,0,-86.682253,33.417026,20121389,2012,1389,Sain Engineering Associates,100 Corporate Parkway,Suite 100,Birmingham,35242,Energy,1988,23120787,102,2.172,1,1117,AL,Shelby County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",391,1,117,30330,1117030330,303.3,Census Tract 303.30,G5020,S,7151912,58061,33.4007267,-86.6925733
USA.StreetAddress,M,100,A,"7763 Gadsden Hwy, Trussville, Alabama, 35173",StreetAddress,Trussville,35173,USA,0,-86.559684,33.65293,20150881,2015,881,SPOC Automation,7763 Gadsden Hwy, ,Trussville,35173,Energy,2000,62486349,100,5.0846,1,1073,AL,Jefferson County,1,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover, AL",570,1,73,11109,1073011109,111.09,Census Tract 111.09,G5020,S,17074263,162237,33.6480151,-86.5814435
