Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON, , 
USA.PointAddress,M,100,A,"35 Woodworkers Way, Seabrook, New Hampshire, 03874",PointAddress,Seabrook,3874,USA,0,-70.883519,42.887202,20133638,2013,3639,Marco Rubber & Plastics,35 Woodworkers Way, ,Seabrook,3874,Business Products & Services,1980,12318000,26,0.8233,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",23,33,15,63001,33015063001,630.01,Census Tract 630.01,G5020,S,8713251,0,42.8931442,-70.8913249, , 
USA.StreetAddress,M,100,A,"5 Batchelder Rd, Seabrook, New Hampshire, 03874",StreetAddress,Seabrook,3874,USA,0,-70.886592,42.895329,20152688,2015,2688,Private Jet Services Group,5 Batchelder RD, ,Seabrook,3874,Travel & Hospitality,2003,51525809,48,1.3605,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",23,33,15,63001,33015063001,630.01,Census Tract 630.01,G5020,S,8713251,0,42.8931442,-70.8913249, , 
USA.PointAddress,M,100,A,"210 West Rd, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.775624,43.043523,20122780,2012,2779,EarthTron,210 West Rd Unit 6, ,PORTSMOUTH,3801,Computer Hardware,2008,2531100,13,0.832,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",24,33,15,107200,33015107200,1072,Census Tract 1072,G5020,S,14642212,295392,43.0409572,-70.7837578, , 
USA.PointAddress,M,100,A,"26 Ermer Rd, Salem, New Hampshire, 03079",PointAddress,Salem,3079,USA,0,-71.222493,42.846273,20152048,2015,2048,Body Armor Outlet,26 Ermer Road, ,Salem,3079,Government Services,2007,2904024,18,1.9232,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",124,33,15,100100,33015100100,1001,Census Tract 1001,G5020,S,20855046,1567378,42.8165809,-71.2189302, , 
USA.StreetAddress,M,100,A,"60 Stiles Rd, Salem, New Hampshire, 03079",StreetAddress,Salem,3079,USA,0,-71.24994,42.772197,20140953,2014,953,Edge Velocity,"60 Stiles Road,",Suite G,Salem,3079,Telecommunications,2004,2002160,9,4.7323,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",125,33,15,100301,33015100301,1003.01,Census Tract 1003.01,G5020,S,12773342,608960,42.7765518,-71.2542173, , 
USA.PointAddress,M,100,A,"45 Northwestern Dr, Salem, New Hampshire, 03079",PointAddress,Salem,3079,USA,0,-71.263077,42.77729,20083608,2008,3603,"Horizon Technology, Inc.",45 Northwestern Drive, ,Salem,3079,Manufacturing,1991,6014155,0,0.8899,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",125,33,15,100301,33015100301,1003.01,Census Tract 1003.01,G5020,S,12773342,608960,42.7765518,-71.2542173, , 
USA.StreetAddress,M,90.92,A,"8 Industrial Way, Salem, New Hampshire, 03079",StreetAddress,Salem,3079,USA,0,-71.251777,42.779746,20150090,2015,90,RocketDrop,8 Industrial Drive,STE E5,Salem,3079,Business Products & Services,2010,190300000,15,35.7653,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",125,33,15,100301,33015100301,1003.01,Census Tract 1003.01,G5020,S,12773342,608960,42.7765518,-71.2542173, , 
USA.PointAddress,M,100,A,"6 Delaware Dr, Salem, New Hampshire, 03079",PointAddress,Salem,3079,USA,0,-71.242065,42.765127,20122303,2012,2303,WEI,6 Delaware Dr., ,Salem,3079,IT Services,1989,70015355,52,1.09,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",126,33,15,100302,33015100302,1003.02,Census Tract 1003.02,G5020,S,8597926,17383,42.7596137,-71.2421388, , 
USA.PointAddress,M,100,A,"4 Wilder Dr, Plaistow, New Hampshire, 03865",PointAddress,Plaistow,3865,USA,0,-71.099962,42.861002,20132565,2013,2567,ENCO Industries,"4 Wilder Drive, #7", ,Plaistow,3865,Environmental Services,1994,9117000,18,1.3786,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",129,33,15,101100,33015101100,1011,Census Tract 1011,G5020,S,27529132,23763,42.8455969,-71.0932598, , 
USA.StreetAddress,M,100,A,"266 RT-125, Kingston, New Hampshire, 03848",StreetAddress,Kingston,3848,USA,0,-71.064974,42.909944,20143908,2014,3908,GourmetGiftBaskets.com,266 Route 125, ,Kingston,3848,Food & Beverage,2002,20547806,58,0.7828,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",131,33,15,105100,33015105100,1051,Census Tract 1051,G5020,S,50901074,3184188,42.9137308,-71.0735952, , 
