Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"4571 Broadway St, Boulder, Colorado, 80304",PointAddress,Boulder,80304,USA,0,-105.282178,40.057671,20100977,2010,975,Namaste Solar Electric,4571 Broadway Street, ,Boulder,80304,Energy,2004,15542326,55,3.062,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",77,8,13,12104,8013012104,121.04,Census Tract 121.04,G5020,S,2700872,96592,40.0507733,-105.286974
USA.PointAddress,M,100,A,"1000 North St, Boulder, Colorado, 80304",PointAddress,Boulder,80304,USA,0,-105.283411,40.024443,20111754,2011,1754,Anthem Branding,1000 North St, ,Boulder,80304,Advertising & Marketing,0,4858000,13,1.522326,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"1033 Walnut St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.281338,40.016558,20083983,2008,3978,"Applied Trust Engineering, Inc.","1033 Walnut St., Suite 300", ,Boulder,80302,IT Services,2001,2743578,23,0.7402,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.StreetAddress,M,90.92,A,"1877 Broadway St, Boulder, Colorado, 80302",StreetAddress,Boulder,80302,USA,0,-105.279612,40.01671,20111823,2011,1823,Camp Bow Wow,"1877 Broadway, Suite 101", ,Boulder,80302,Consumer Products & Services,2003,5010312,24,1.43947,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"1433 Pearl St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.276477,40.018648,20100194,2010,192,Collective Intellect,1433 Pearl Street Suite 200, ,Boulder,80302,Software,2005,2696000,40,15.048,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.StreetAddress,M,90.1,A,"1360 Walnut St, Boulder, Colorado, 80302",StreetAddress,Boulder,80302,USA,0,-105.277686,40.017257,20112535,2011,2535,Egg Strategy,1360 Walnut Street,Suite 102,Boulder,80304,Advertising & Marketing,0,13615108,42,0.929207,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"1500 Pearl St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.275396,40.018813,20122932,2012,2931,Gorilla Logic,1500 Pearl Street,Suite 300,Boulder,80302,Software,2002,9016489,53,0.756,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"1401 Walnut St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.276707,40.017517,20150028,2015,28,InvitedHome,1401 Walnut St,Suite 100,Boulder,80302,Travel & Hospitality,2010,11370964,76,80.0059,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"1468 Pearl St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.276356,40.018613,20102242,2010,2240,KidRobot,1468 Pearl St. Suite 200, ,Boulder,80302,Retail,2002,16170064,70,1.138,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"1722 14th St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.276269,40.015322,20130139,2013,139,Populus,1722 14th Street,Suite 210,Boulder,80302,Energy,2006,3018671,30,26.8467,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.PointAddress,M,100,A,"929 Pearl St, Boulder, Colorado, 80302",PointAddress,Boulder,80302,USA,0,-105.283347,40.017227,20140233,2014,233,SendGrid,929 Pearl St.,Suite 200,Boulder,80302,Software,2009,28906069,174,19.4475,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
USA.StreetAddress,M,90.92,A,"1877 Broadway St, Boulder, Colorado, 80302",StreetAddress,Boulder,80302,USA,0,-105.279612,40.01671,20142860,2014,2860,ShipCompliant,"1877 Broadway, Suite 703", ,Boulder,80302,Software,2000,7143496,40,1.2853,1,8013,CO,Boulder County,8,14500,"Boulder, CO Metropolitan Statistical Area","Boulder, CO",82,8,13,12204,8013012204,122.04,Census Tract 122.04,G5020,S,1393809,0,40.0176123,-105.2791598
