Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"20 Kimball Ave, South Burlington, Vermont, 05403",PointAddress,South Burlington,5403,USA,0,-73.154048,44.459816,20081947,2008,1942,"iTech US, Inc.",20 Kimball Ave,Suite 303 North,South Burlington,5403,IT Services,2001,33376414,285,1.9138,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",2,50,7,4002,50007004002,40.02,Census Tract 40.02,G5020,S,9250772,387899,44.4578208,-73.1472861
USA.PointAddress,M,100,A,"35 Thompson St, South Burlington, Vermont, 05403",PointAddress,South Burlington,5403,USA,0,-73.149309,44.439945,20092190,2009,2191,Logic Supply,35 Thompson Street,N/A,South Burlington,5403,Computer Hardware,2003,10643639,28,1.442,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",3,50,7,3301,50007003301,33.01,Census Tract 33.01,G5020,S,15889076,38604,44.4199281,-73.1635666
USA.PointAddress,M,100,A,"130 W Canal St, Winooski, Vermont, 05404",PointAddress,Winooski,5404,USA,0,-73.19077,44.490872,20133145,2013,3147,CPA Site Solutions,130 West Canal Street, ,Winooski,5404,IT Services,1999,4626089,28,1.0439,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",10,50,7,2500,50007002500,25,Census Tract 25,G5020,S,2195425,204091,44.4939642,-73.1798212
USA.StreetAddress,M,100,A,"20 Winooski Falls Way, Winooski, Vermont, 05404",StreetAddress,Winooski,5404,USA,0,-73.183821,44.490227,20151079,2015,1079,Marathon Health,"20 Winooski Falls Way, Ste 400", ,Winooski,5404,Health,2005,38113000,346,3.9958,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",10,50,7,2500,50007002500,25,Census Tract 25,G5020,S,2195425,204091,44.4939642,-73.1798212
USA.StreetAddress,M,100,A,"1 Howard St, Burlington, Vermont, 05401",StreetAddress,Burlington,5401,USA,0,-73.214851,44.467109,20131549,2013,1551,Dealer.com,1 Howard Street, ,Burlington,5401,Advertising & Marketing,1999,182600000,697,2.5681,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",21,50,7,800,50007000800,8,Census Tract 8,G5020,S,1349586,0,44.4609464,-73.2086195
USA.PointAddress,M,100,A,"94 Harvest Ln, Williston, Vermont, 05495",PointAddress,Williston,5495,USA,0,-73.117595,44.450793,20120148,2012,148,AllEarth Renewables,94 Harvest Lane, ,Williston,5495,Energy,2005,20048020,24,22.169,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",52,50,7,3100,50007003100,31,Census Tract 31,G5020,S,77896800,1311262,44.4291659,-73.0963101
USA.PointAddress,M,100,A,"206 Avenue C, Williston, Vermont, 05495",PointAddress,Williston,5495,USA,0,-73.125425,44.46395,20151432,2015,1432,SAC,206 Ave C, ,Williston,5495,Engineering,2010,9611518,59,2.8905,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",52,50,7,3100,50007003100,31,Census Tract 31,G5020,S,77896800,1311262,44.4291659,-73.0963101
USA.PointAddress,M,100,A,"8 Leroy Rd, Williston, Vermont, 05495",PointAddress,Williston,5495,USA,0,-73.130802,44.449216,20083656,2008,3651,"Total Temperature Instrumentation, Inc. (dba TTI Instruments)",8 Leroy Road,PO Box 1073,Williston,5495,Retail,1988,15040430,32,0.8663,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",52,50,7,3100,50007003100,31,Census Tract 31,G5020,S,77896800,1311262,44.4291659,-73.0963101
USA.PointAddress,M,100,A,"112 Lake St, Burlington, Vermont, 05401",PointAddress,Burlington,5401,USA,0,-73.220511,44.478486,20112576,2011,2576,Global Sourcing Group,112 Lake Street Suite 210, ,Burlington,5401,Software,0,2618159,150,0.906444,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",55,50,7,1000,50007001000,10,Census Tract 10,G5020,S,1759552,30308,44.4660208,-73.2168276
USA.StreetName,M,88.65,A,"Champlain Pl, Winooski, Vermont, 05404",StreetName,Winooski,5404,USA,0,-73.193525,44.492298,20131832,2013,1834,MyWebGrocer,Champlain Mill,"20 Winooski Falls Way, Fifth Floor",Winooski,5404,Software,1999,36368630,171,2.0864,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",56,50,7,2400,50007002400,24,Census Tract 24,G5020,S,1512045,1977,44.498103,-73.1911298
USA.PointAddress,M,100,A,"35 Green Mountain Dr, South Burlington, Vermont, 05403",PointAddress,South Burlington,5403,USA,0,-73.207864,44.428414,20133460,2013,3461,Instrumart,35 Green Mountain Drive, ,South Burlington,5403,Business Products & Services,1988,32663593,51,0.8894,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",159,50,7,3304,50007003304,33.04,Census Tract 33.04,G5020,S,8492208,33471412,44.4502368,-73.276946
USA.Postal,M,100,A,"05403, South Burlington, Vermont",Postal,South Burlington,5403,USA,0,-73.17845,44.448623,20133842,2013,3843,MBA HealthGroup,MBA HealthGroup,55 Community Drive,So. Burlington,5403,Health,1991,7426060,72,0.7379,1,50007,VT,Chittenden County,50,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington-South Burlington, VT",159,50,7,3304,50007003304,33.04,Census Tract 33.04,G5020,S,8492208,33471412,44.4502368,-73.276946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
