Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.StreetName,M,90.54,A,"E Mainstreet, Parker, Colorado, 80134",StreetName,Parker,80134,USA,0,-104.771751,39.518379,20121499,2012,1499,"Attack Consulting Group,",17002 Mainstreet,Unit L,Parker,80134,Health,2008,2613069,49,1.987,1,8035,CO,Douglas County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",4,8,35,13904,8035013904,139.04,Census Tract 139.04,G5020,S,5334096,0,39.5301364,-104.7671292
USA.PointAddress,M,100,A,"8595 Prairie Trail Dr, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.818917,39.560211,20111389,2011,1389,Best Practice Systems,8595 Prairie Trail Drive, ,Englewood,80112,Business Products & Services,2001,4409267,44,2.043657,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.PointAddress,M,100,A,"385 Inverness Pkwy, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.865638,39.56263,20143707,2014,3707,DBAK,385 Inverness Parkway,Suite 190,Englewood,80112,IT Services,2005,12243191,50,0.8587,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.PointAddress,M,100,A,"391 Inverness Pkwy, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.865588,39.563374,20110908,2011,909,IP5280 Communications,391 Inverness Parkway,Suite 300,Englewood,80112,Telecommunications,2006,7053492,21,3.354032,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.PointAddress,M,100,A,"400 Inverness Pkwy, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.866908,39.565944,20142562,2014,2562,JAB Broadband,400 Inverness Parkway Suite 330,400 Inverness Parkway Suite 330,Englewood,80112,Telecommunications,2006,109100000,700,1.4692,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.PointAddress,M,100,A,"393 Inverness Pkwy, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.865606,39.564114,20133637,2013,3638,Latisys,393 Inverness Parkway, ,Englewood,80112,IT Services,1994,76402000,185,0.8233,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.PointAddress,M,100,A,"384 Inverness Pkwy, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.865506,39.563398,20100953,2010,951,SofTec Solutions,384 Inverness Parkway Suite 211, ,Englewood,80112,IT Services,1996,29666562,400,3.127,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.PointAddress,M,100,A,"317 Inverness Way S, Englewood, Colorado, 80112",PointAddress,Englewood,80112,USA,0,-104.860777,39.565661,20092905,2009,2906,The Leadership and Learning Center,317 Inverness Way S.,Suite 150,Englewood,80112,Education,1992,11786600,42,0.964,1,8005,CO,Arapahoe County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",7,8,35,14001,8035014001,140.01,Census Tract 140.01,G5020,S,11610483,1422,39.5583147,-104.8232831
USA.StreetAddress,M,100,A,"10940 S Parker Rd, Parker, Colorado, 80134",StreetAddress,Parker,80134,USA,0,-104.764759,39.517583,20110041,2011,41,GoLive! Mobile,10940 S. Parker rd, ,Parker,80134,Media,0,36253776,102,45.26401,1,8035,CO,Douglas County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",14,8,35,13905,8035013905,139.05,Census Tract 139.05,G5020,S,3637951,0,39.5131733,-104.7566647
USA.StreetAddress,M,100,A,"10940 S Parker Rd, Parker, Colorado, 80134",StreetAddress,Parker,80134,USA,0,-104.764759,39.517583,20101268,2010,1266,Outskirts Press,10940 S. Parker Rd - 515, ,Parker,80134,Consumer Products & Services,2002,5275277,3,2.342,1,8035,CO,Douglas County,8,19740,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO",14,8,35,13905,8035013905,139.05,Census Tract 139.05,G5020,S,3637951,0,39.5131733,-104.7566647
