Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"400 S Elliott Rd, Chapel Hill, North Carolina, 27514",PointAddress,Chapel Hill,27514,USA,0,-79.027354,35.931933,20143175,2014,3175,Phydeaux,400 S. Elliott Rd.,Suite A1,Chapel Hill,27514,Retail,2002,6575960,0,1.1014,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",185,37,135,12100,37135012100,121,Census Tract 121,G5020,S,8103447,65784,35.9262454,-79.0158912
USA.PointAddress,M,100,A,"101 Europa Dr, Chapel Hill, North Carolina, 27517",PointAddress,Chapel Hill,27517,USA,0,-79.018088,35.941134,20111700,2011,1700,TSI Healthcare,101 Europa Drive,Suite 200,Chapel Hill,27517,Software,1997,15913158,84,1.576954,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",185,37,135,12100,37135012100,121,Census Tract 121,G5020,S,8103447,65784,35.9262454,-79.0158912
USA.PointAddress,M,100,A,"210 N Columbia St, Chapel Hill, North Carolina, 27514",PointAddress,Chapel Hill,27514,USA,0,-79.056825,35.915036,20133765,2013,3766,Takeout Central,210 North Columbia St., ,Chapel Hill,27514,Food & Beverage,1997,2401085,65,0.7696,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",188,37,135,11400,37135011400,114,Census Tract 114,G5020,S,3269028,1262,35.927291,-79.0476791
USA.Postal,M,100,A,"27516, Chapel Hill, North Carolina",Postal,Chapel Hill,27516,USA,0,-79.061468,35.916484,20151848,2015,1848,3 Birds Marketing,"3 Birds Marketing, LLC",505-B West Franklin Street,Chapel Hill,27516,Advertising & Marketing,2009,5195348,78,2.1474,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",189,37,135,11300,37135011300,113,Census Tract 113,G5020,S,1089763,295,35.9187011,-79.0622576
USA.StreetAddress,M,100,A,"150 Golden Dr, Durham, North Carolina, 27705",StreetAddress,Durham,27705,USA,0,-78.965632,36.028125,20091155,2009,1156,Mainline Contracting,150 Golden Drive,N/A,Durham,27705,Construction,1999,73601401,385,2.748,1,37063,NC,Durham County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",429,37,63,1706,37063001706,17.06,Census Tract 17.06,G5020,S,5874608,11968,36.0176313,-78.9688578
USA.PointAddress,M,100,A,"3211 Shannon Rd, Durham, North Carolina, 27707",PointAddress,Durham,27707,USA,0,-78.955373,35.964896,20120872,2012,872,American Journal Experts,3211 Shannon Road,Suite 500,Durham,27707,Education,2004,10496724,90,3.849,1,37063,NC,Durham County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",442,37,63,2015,37063002015,20.15,Census Tract 20.15,G5020,S,3743485,3875,35.9690078,-78.9462425
USA.Postal,M,100,A,"27510, Carrboro, North Carolina",Postal,Carrboro,27510,USA,0,-79.077323,35.909383,20092678,2009,2679,Fleet Feet,Post Office Box 789,N/A,Carrboro,27510,Retail,1976,4099000,14,1.095,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",444,37,135,10703,37135010703,107.03,Census Tract 107.03,G5020,S,2368319,1390,35.9092743,-79.0851539
USA.StreetAddress,M,100,M,"1480 Environ Way, Chapel Hill, North Carolina, 27517",StreetAddress,Chapel Hill,27517,USA,0,-79.02162439,35.90669516,20122537,2012,2536,American Support,1480 Environ Way, ,Chapel Hill,27517,Business Products & Services,2006,28373000,550,0.954,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",917,37,135,12201,37135012201,122.01,Census Tract 122.01,G5020,S,19958430,70475,35.8840523,-79.0383129
USA.PointAddress,M,100,A,"628 Kensington Dr, Chapel Hill, North Carolina, 27514",PointAddress,Chapel Hill,27514,USA,0,-79.044834,35.938108,20141354,2014,1354,Eloquentix,628 Kensington Dr, ,Chapel Hill,27514,IT Services,2002,2057190,30,3.1798,1,37135,NC,Orange County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",943,37,135,11901,37135011901,119.01,Census Tract 119.01,G5020,S,5678786,33300,35.9501289,-79.0468863
USA.PointAddress,M,100,A,"1016 Thompson St, Pittsboro, North Carolina, 27312",PointAddress,Pittsboro,27312,USA,0,-79.159486,35.720664,20130484,2013,486,Talent Curve,1016 Thompson St., ,Pittsboro,27312,Human Resources,2007,8909090,75,9.3626,1,37037,NC,Chatham County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",1054,37,37,20800,37037020800,208,Census Tract 208,G5020,S,181624362,14610869,35.714344,-79.1474423
USA.PointAddress,M,100,A,"501 Washington St, Durham, North Carolina, 27701",PointAddress,Durham,27701,USA,0,-78.903395,36.002834,20150262,2015,262,Adzerk,501 Washington Street Suite D, ,Durham,27701,Software,2009,2122872,17,17.2644,1,37063,NC,Durham County,37,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Durham-Chapel Hill, NC",1266,37,63,2200,37063002200,22,Census Tract 22,G5020,S,1538433,0,35.9994119,-78.9017906
