Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.StreetAddress,M,90.1,A,"1314 Edwin Miller Blvd, Martinsburg, West Virginia, 25404",StreetAddress,Martinsburg,25404,USA,0,-77.958569,39.479155,20112893,2011,2892,digiBlitz Technologies,1314 Edwin Miller Blvd,Suite 206,Martinsburg,25438,IT Services,0,2061624,24,0.737568,1,54037,WV,Jefferson County,54,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",14,54,3,971300,54003971300,9713,Census Tract 9713,G5020,S,33774260,154582,39.5006995,-77.933692
USA.PointAddress,M,100,A,"9700 Capital Ct, Manassas, Virginia, 20110",PointAddress,Manassas,20110,USA,0,-77.521001,38.740095,20080591,2008,589,"Oberon Associates, Inc.",9700 Capital Court,Suite 301,Manassas,20110,IT Services,2002,60505672,535,5.5133,1,51683,VA,Manassas city,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",22,51,683,910402,51683910402,9104.02,Census Tract 9104.02,G5020,S,9913971,91060,38.7391458,-77.4918386
USA.PointAddress,M,100,A,"9720 Capital Ct, Manassas, Virginia, 20110",PointAddress,Manassas,20110,USA,0,-77.5207,38.739515,20110851,2011,852,Tracen Technologies,9720 Capital Ct,Suite 401,Manassas,20110,Software,2000,4679805,14,3.635067,1,51683,VA,Manassas city,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",22,51,683,910402,51683910402,9104.02,Census Tract 9104.02,G5020,S,9913971,91060,38.7391458,-77.4918386
USA.Postal,M,100,A,"20165, Sterling, Virginia",Postal,Sterling,20165,USA,0,-77.383384,39.047644,20092957,2009,2958,kmG Hauling,PO Box 650821,N/A,Potomac Falls,20165,Environmental Services,2001,8525819,65,0.942,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",24,51,107,611202,51107611202,6112.02,Census Tract 6112.02,G5020,S,3291425,52223,39.0517538,-77.3749149
USA.StreetAddress,M,100,A,"45625 Willow Pond Plz, Sterling, Virginia, 20164",StreetAddress,Sterling,20164,USA,0,-77.421406,38.988433,20101587,2010,1585,ABBTech Staffing Services,45625 Willow Pond Plaza, ,Sterling,20164,IT Services,1992,33774760,349,1.805,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",25,51,107,611700,51107611700,6117,Census Tract 6117,G5020,S,7045296,12051,38.9833544,-77.4154899
USA.StreetAddress,M,100,A,"45615 Willow Pond Plz, Sterling, Virginia, 20164",StreetAddress,Sterling,20164,USA,0,-77.42127,38.98851,20151509,2015,1509,EcomNets,45615 Willow Pond Plaza, ,Sterling,20164,IT Services,2000,21997000,225,2.7182,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",25,51,107,611700,51107611700,6117,Census Tract 6117,G5020,S,7045296,12051,38.9833544,-77.4154899
USA.StreetAddress,M,100,A,"22900 Shaw Rd, Sterling, Virginia, 20166",StreetAddress,Sterling,20166,USA,0,-77.422956,38.982574,20112453,2011,2453,InfoRelay Online Systems,22900 Shaw Rd,Suite 112-5,Sterling,20166,IT Services,0,3538589,14,0.961743,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",25,51,107,611700,51107611700,6117,Census Tract 6117,G5020,S,7045296,12051,38.9833544,-77.4154899
USA.PointAddress,M,100,A,"22636 Davis Dr, Sterling, Virginia, 20164",PointAddress,Sterling,20164,USA,0,-77.415935,38.990855,20111994,2011,1994,Infused Solutions,22636 Davis Drive,Suite 100,Sterling,20164,Government Services,2003,11178497,201,1.273805,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",25,51,107,611700,51107611700,6117,Census Tract 6117,G5020,S,7045296,12051,38.9833544,-77.4154899
USA.PointAddress,M,100,A,"22636 Davis Dr, Sterling, Virginia, 20164",PointAddress,Sterling,20164,USA,0,-77.415935,38.990855,20140881,2014,881,New River Systems,22636 Davis Drive #145,22636 Davis Drive #145,Sterling,20164,Government Services,2007,16007887,40,5.1031,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",25,51,107,611700,51107611700,6117,Census Tract 6117,G5020,S,7045296,12051,38.9833544,-77.4154899
USA.PointAddress,M,95.33,A,"45662 Terminal Dr, Arcola, Virginia, 20166",PointAddress,Arcola,20166,USA,0,-77.421277,38.985985,20101698,2010,1696,ServiceForce,45662 Terminal Drive, ,Dulles,20166,Business Products & Services,2001,34506933,950,1.655,1,51107,VA,Loudoun County,51,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV",25,51,107,611700,51107611700,6117,Census Tract 6117,G5020,S,7045296,12051,38.9833544,-77.4154899
