"","GEOID","jobs","HH","wrks"
"1","01009050102",3148,2748,2634
"2","01073000300",1382,1031,845
"3","01073000500",902,1190,996
"4","01073001200",3881,1237,1098
"5","01073002400",15071,1593,1314
"6","01073002700",33002,1526,1072
"7","01073004701",3962,2128,1680
"8","01073004901",3502,845,502
"9","01073010200",4906,976,989
"10","01073010702",6373,1901,2045
"11","01073010703",4252,895,1063
"12","01073010706",14319,2350,1729
"13","01073010802",4648,1285,1257
"14","01073010900",1573,1814,1669
"15","01073011109",3626,1570,1548
"16","01073012703",2495,2030,1774
"17","01073012802",1830,1346,1206
"18","01073012906",3256,2899,2699
"19","01073012908",4025,2073,1854
"20","01073012910",5306,1642,1452
"21","01073012915",2589,2694,2758
"22","01073014204",2870,3468,4425
"23","01073014302",6431,2414,2234
"24","01073014404",1782,2424,2421
"25","01073014408",5618,1880,1358
"26","01073014409",2260,1423,1472
"27","01117030212",3387,1867,1371
"28","01117030213",3314,1973,2029
"29","01117030305",1080,1366,1904
"30","01117030314",9191,1537,1656
"31","01117030315",11427,2245,2504
"32","01117030330",3462,2152,2629
"33","01117030333",1708,1872,2049
"34","01117030345",1390,987,1312
"35","01117030501",1952,2503,2642
"36","01117030502",1305,816,778
"37","01117030604",329,2306,2775
"38","01117030605",755,2599,3256
"39","01117030609",541,2640,2708
"40","04013040518",673,2323,1495
"41","04013061020",782,1230,378
"42","04013061044",435,1720,707
"43","04013071509",2813,2112,2526
"44","04013071517",649,1348,1838
"45","04013071909",443,1628,1763
"46","04013071911",1169,1009,1501
"47","04013092708",912,720,860
"48","04013103208",1904,2114,1867
"49","04013103209",5332,2177,2639
"50","04013103219",5227,1481,1323
"51","04013103220",2880,1432,1681
"52","04013104801",1386,1523,1815
"53","04013105101",1591,1720,2172
"54","04013105102",3242,2231,2016
"55","04013105503",673,1690,1164
"56","04013106300",5024,2392,2161
"57","04013106501",743,1426,1442
"58","04013107201",3393,1161,932
"59","04013107500",2898,1650,1630
"60","04013107601",3651,1563,1351
"61","04013107700",7182,1937,1721
"62","04013107800",24629,1466,1014
"63","04013108400",9475,2500,2008
"64","04013108502",8415,2057,1569
"65","04013110100",2573,1647,1789
"66","04013110501",21003,1690,1243
"67","04013110502",16395,1268,969
"68","04013111000",8036,2192,2159
"69","04013111201",519,2386,2150
"70","04013111502",2014,1948,1764
"71","04013111800",13571,1935,1836
"72","04013112512",13200,581,2452
"73","04013112700",1832,1660,1831
"74","04013113100",17849,1444,1030
"75","04013113300",3519,1688,1130
"76","04013113801",8166,1006,870
"77","04013113900",4592,351,356
"78","04013114200",1867,403,436
"79","04013114800",2365,818,839
"80","04013115200",26070,727,667
"81","04013115900",389,1464,1625
"82","04013116100",3386,1067,966
"83","04013116203",9197,1972,1656
"84","04013116204",9168,1080,1458
"85","04013116709",3554,867,1444
"86","04013116712",2306,2626,3523
"87","04013116719",4919,2639,3595
"88","04013116725",436,2008,2487
"89","04013116900",10174,571,649
"90","04013117200",8399,378,627
"91","04013216806",1741,1498,1374
"92","04013216807",4122,2216,2286
"93","04013216810",8356,906,788
"94","04013216813",5315,2068,1655
"95","04013216816",30615,2034,2404
"96","04013216830",1937,1655,1409
"97","04013216834",2436,1087,875
