CBSA,MSA Names,Age01Firm,Age01Firm.10,Age01Firm.11,LogNETS,TotPerY,PopGrow,Dense1mi,College+,Res-I,NIH/cap,HT LQ,HTLabPool,Pat/100K,Centrality,VC/cap,PctForBorn,EconDiver,PopFlux,TurnOver,HouseBurden,No.w/n50km,NE,MA,SA,EMW,ESC,WSC,MT,PAC,Age05Firm.10-11,INC 10-12sum,Res Exp/cap,SBIR/cap,High.compl,%Commute,AveHHY11,Pop.11,%ForBornw/Coll,Pop.00,,,,,,,,,,
10180,"Abilene, TX",0.1121,0.118082368,0.106154347,2.6209,5174,0.0265,2722.2,20.74,0.00,0.00,0.50,1.62,2.20,0,0.00,0.0659,1,0.109035417,0.099138017,0.27,0,0,0,0,0,0,1,0,0,0.2746,1.0000,0,0.00,92.4,0.01,88912,166416,0.1452,160288,,,,,,,,,,
10420,"Akron, OH",0.0969,0.097450898,0.096300646,6.5096,25090,0.0006,5427.0,32.70,0.00,17.73,0.60,3.0725,45.95,5,7.29,0.0469,2,0.056308859,0.083713996,0.33,3,0,0,0,1,0,0,0,0,0.2545,2.1405,0,3.65,97.4,0.01,98012,701456,0.4247,695946,,,,,,,,,,
10500,"Albany, GA",0.0984,0.103422053,0.093425606,3.3137,4414,0.0011,2012.6,17.01,0.00,8.29,0.60,1.72,1.69,0,0.00,0.0284,1,0.077588725,0.099813872,0.36,0,0,0,1,0,0,0,0,0,0.2569,1.0000,0,0.00,85.8,0.01,81758,157688,0.2695,157610,,,,,,,,,,
10580,"Albany-Schenectady-Troy, NY",0.1213,0.121244,0.121421976,6.6844,33776,0.0123,8224.5,39.15,2.00,240.53,1.00,6.055,76.61,4,27.04,0.0792,3,0.056214003,0.078413251,0.32,1,0,1,0,0,0,0,0,0,0.2996,3.4097,40088,16.38,95.5,0.03,104425,871478,0.4241,827399,,,,,,,,,,
10740,"Albuquerque, NM",0.1194,0.119846666,0.119038925,9.7562,28793,0.0706,3834.3,26.53,1.00,121.97,1.70,5.47,26.19,0,68.17,0.1216,2,0.070321892,0.114313226,0.35,0,0,0,0,0,0,0,1,0,0.3123,2.4466,22775,21.94,89.9,0.02,89029,898642,0.1957,732220,,,,,,,,,,
10780,"Alexandria, LA",0.1029,0.104292302,0.101470061,3.3723,5004,0.0197,2643.0,18.65,0.00,0.74,0.30,1.63,3.45,0,0.19,0.0279,1,0.057608306,0.115603615,0.28,0,0,0,0,0,0,1,0,0,0.2858,1.0000,0,1.53,92.5,0.01,93783,154505,0.1901,145179,,,,,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.1018,0.099609231,0.103954886,4.3263,29395,0.0297,8613.2,32.27,0.00,3.28,0.70,2.31,37.05,3,127.23,0.0989,2,0.055539596,0.083790114,0.36,1,0,1,0,0,0,0,0,0,0.2775,1.9698,0,1.39,96.1,0.03,102777,824916,0.3012,741817,,,,,,,,,,
11020,"Altoona, PA",0.0763,0.072671048,0.07992278,2.5579,3848,0.0002,4352.0,24.86,0.00,0.00,0.60,1.37,3.93,1,0.00,0.0124,2,0.049349353,0.078722399,0.27,1,0,1,0,0,0,0,0,0,0.2051,1.0000,0,0.00,91.5,0.00,81716,127099,0.3345,128981,,,,,,,,,,
11100,"Amarillo, TX",0.1161,0.110564585,0.121698711,4.0439,8335,0.042,3232.7,21.75,0.00,0.00,0.50,2.15,6.57,0,0.00,0.1082,2,0.068604646,0.093523221,0.29,0,0,0,0,0,0,1,0,0,0.2865,1.0000,0,0.00,94.6,0.01,96020,253823,0.1091,227029,,,,,,,,,,
11180,"Ames, IA",0.0953,0.094397077,0.096259963,13.9262,3026,0.057,4724.1,51.63,1.00,238.57,0.50,6.39,73.61,0,313.62,0.0905,2,0.194980579,0.08363387,0.33,0,0,0,0,0,0,0,0,0,0.2597,3.2306,254744,41.85,100.0,0.06,91385,89663,0.7265,80152,,,,,,,,,,
