"","City","company_na","GEOID","full_name","ALAND","X","Y","Match_addr","year","industry","employees","revenue","growth","employeesgroup","revenuegroup","growthgroup"
"1","Albuquerque","Access Technologies, Inc.",35001003735,"Albuquerque, NM",7303805,-106.609299,35.170138,"1301 Cuesta Arriba Ct NE, Albuquerque, New Mexico, 87113",2008,"IT Services",15,3980373,1.229,1,1,2
"2","Albuquerque","Affordable Solar",35001003733,"Albuquerque, NM",2244364,-106.587887,35.151011,"N Pan American Fwy NE, Albuquerque, New Mexico, 87109",2015,"Energy",160,46440000,1.0581,3,2,2
"3","Albuquerque","American Clay Enterprises",35001003735,"Albuquerque, NM",7303805,-106.6062,35.184123,"8724 Alameda Park NE, Albuquerque, New Mexico, 87113",2008,"Manufacturing",19,2771393,5.2764,1,1,3
"4","Albuquerque","Andy Lee General Contractor",35001003400,"Albuquerque, NM",8189934,-106.613806,35.119298,"3435 Girard Blvd NE, Albuquerque, New Mexico, 87107",2008,"Construction",12,2863200,1.1651,1,1,2
"5","Albuquerque","Burgos Group",35001003501,"Albuquerque, NM",6570065,-106.632585,35.172144,"320 Ranchitos Rd NW, Albuquerque, New Mexico, 87114",2015,"Government Services",85,7978734,9.9798,2,1,3
"6","Albuquerque","CAaNES",35001003724,"Albuquerque, NM",1771490,-106.557661,35.145388,"7801 Academy Rd NE, Albuquerque, New Mexico, 87109",2014,"Security",21,2987282,1.3832,2,1,2
"7","Albuquerque","Delta Group Electronics, Inc.",35001003733,"Albuquerque, NM",2244364,-106.590021,35.142038,"4801 Lincoln Rd NE, Albuquerque, New Mexico, 87109",2008,"Manufacturing",280,45473252,1.0425,3,2,2
"8","Albuquerque","DW Turner, Inc.",35001002100,"Albuquerque, NM",1276195,-106.652195,35.083613,"400 Gold Ave SW, Albuquerque, New Mexico, 87102",2008,"Advertising & Marketing",25,3028567,1.4058,2,1,2
"9","Rio Rancho","Energy Control",35043010713,"Albuquerque, NM",4867100,-106.716372,35.246319,"87124, Rio Rancho, New Mexico",2008,"Energy",65,14247406,1.0077,2,2,2
"10","Albuquerque","GenQuest",35001003001,"Albuquerque, NM",2985368,-106.673361,35.111485,"1805 Rio Grande Blvd NW, Albuquerque, New Mexico, 87104",2011,"Government Services",55,6676844,1.776886,2,1,2
"11","Albuquerque","Griffin & Associates",35001001700,"Albuquerque, NM",2048194,-106.612062,35.0804,"119 Dartmouth Dr SE, Albuquerque, New Mexico, 87106",2008,"Advertising & Marketing",8,2170956,0.7599,1,1,1
"12","Corrales","Ideum",35043010601,"Albuquerque, NM",15911061,-106.641712,35.207377,"2469 Corrales Rd, Corrales, New Mexico, 87048",2015,"Business Products & Services",35,6005425,2.0774,2,1,2
"13","Albuquerque","InkSoft",35001003724,"Albuquerque, NM",1771490,-106.561213,35.153308,"6501 Wyoming Blvd NE, Albuquerque, New Mexico, 87109",2015,"Software",41,3570000,8.015201,2,1,3
"14","Albuquerque","Innovative Technology Partnerships",35001003736,"Albuquerque, NM",12778537,-106.593752,35.185763,"4604 Columbine Ave NE, Albuquerque, New Mexico, 87113",2013,"Government Services",155,18002667,2.5594,3,2,2
"15","Albuquerque","Las Ventanas Homes",35001003728,"Albuquerque, NM",1619608,-106.516782,35.140189,"5203 Juan Tabo Blvd NE, Albuquerque, New Mexico, 87111",2014,"Construction",8,3139590,8.8729,1,1,3
"16","Albuquerque","McKee Wallwork Cleveland",35001001500,"Albuquerque, NM",1172309,-106.644118,35.078616,"87102, Albuquerque, New Mexico",2007,"Advertising & Marketing",29,12351000,0.7323,2,2,1
"17","Albuquerque","National Roofing Co.",35001003502,"Albuquerque, NM",11181547,-106.644238,35.140268,"87107, Albuquerque, New Mexico",2007,"Construction",80,11700000,1.34,2,2,2
"18","Albuquerque","Omicron Safety & Risk Technologies",35001000122,"Albuquerque, NM",2634946,-106.56871,35.108102,"2500 Louisiana Blvd NE, Albuquerque, New Mexico, 87110",2008,"Government Services",55,6923000,0.7866,2,1,1
"19","Albuquerque","Optomec",35001003725,"Albuquerque, NM",2239891,-106.579515,35.152606,"87109, Albuquerque, New Mexico",2007,"Manufacturing",47,8309000,1.147,2,1,2
"20","Rio Rancho","Permacharge",35043010713,"Albuquerque, NM",4867100,-106.716372,35.246319,"87124, Rio Rancho, New Mexico",2007,"Manufacturing",15,5051312,0.8252,1,1,1
