"","walkscore","bikescore","GEOID"
"1",18,66,"35001003735"
"2",37,43,"35001003733"
"3",33,60,"35001003400"
"4",31,4,"35001003501"
"5",54,70,"35001003724"
"6",95,79,"35001002100"
"7",3,7,"35043010713"
"8",33,56,"35001003001"
"9",89,100,"35001001700"
"10",7,10,"35043010601"
"11",31,38,"35001003736"
"12",37,57,"35001003728"
"13",80,88,"35001001500"
"14",5,14,"35001003502"
"15",78,76,"35001000122"
"16",54,70,"35001003725"
"17",69,64,"35001002700"
"18",8,18,"35043010703"
"19",71,86,"35001002500"
"20",34,51,"35001001200"
"21",0,17,"35001004001"
"22",42,71,"35001000601"
"23",36,23,"13089021411"
"24",35,24,"13135050311"
"25",20,25,"13121010110"
"26",3,26,"13121010205"
"27",3,27,"13067030330"
"28",5,28,"13121010122"
"29",26,29,"13067030332"
"30",1,30,"13067030320"
"31",8,31,"13067030502"
"32",0,32,"13067030318"
"33",4,33,"13067030103"
"34",31,34,"13067030328"
"35",63,35,"13067031110"
"36",1,36,"13067030337"
"37",17,37,"13067030339"
"38",0,38,"13143010400"
"39",12,39,"13089021912"
"40",14,40,"13067031111"
"41",53,41,"13089021405"
"42",45,42,"13089021502"
"43",30,43,"13089021603"
"44",7,44,"13089021703"
"45",19,45,"13089021704"
"46",87,76,"13121001300"
"47",88,67,"13121001500"
"48",90,75,"13121001900"
"49",61,63,"13121000500"
"50",0,50,"13013180204"
"51",19,24,"13121010002"
"52",41,51,"13121010001"
"53",1,10,"13121009802"
"54",0,54,"13045911100"
"55",26,55,"13045910200"
"56",12,56,"13121010209"
"57",2,57,"13121010513"
"58",1,58,"13121010510"
"59",93,76,"13121001100"
"60",79,67,"13121009101"
"61",25,25,"13121008904"
"62",31,62,"13121011611"
"63",2,63,"13121011617"
"64",0,64,"13121011504"
"65",2,65,"13121011615"
"66",0,66,"13121011423"
"67",15,67,"13121011620"
"68",53,68,"13121011614"
"69",4,69,"13121011621"
"70",35,70,"13121011619"
"71",13,71,"13121011623"
"72",1,72,"13121011622"
"73",17,73,"13121011420"
"74",48,55,"13121009000"
"75",7,75,"13121010303"
"76",77,79,"13121001700"
"77",81,88,"13121000600"
"78",56,41,"13121000200"
"79",73,70,"13121000400"
"80",1,80,"13135050212"
"81",14,81,"13135050210"
"82",15,82,"13135050214"
"83",17,83,"13135050220"
"84",2,84,"13135050548"
"85",3,85,"13135050216"
"86",13,86,"13135050537"
"87",5,87,"13255161200"
"88",0,88,"13255160500"
"89",38,89,"13057091006"
"90",0,90,"13113140406"
"91",8,91,"13113140303"
"92",3,92,"13113140306"
"93",1,93,"13121010204"
"94",88,81,"13121002900"
"95",8,95,"13057091003"
"96",23,96,"13057090701"
"97",11,97,"13057090702"
"98",0,98,"13057090300"
"99",15,99,"13057090902"
"100",59,100,"13057091001"
"101",1,101,"13057090400"
"102",1,102,"13057090904"
"103",11,103,"13063040410"
"104",7,104,"13063040514"
"105",12,105,"13217100400"
"106",12,106,"13067031208"
"107",45,107,"13067031207"
"108",0,108,"13247060306"
